,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8526471071028975,0.43038880928992357,-0.3213722221181153,0.481853708103431,0.7348961390108593,0.380586124495395,-0.15527569618853798,0.07686791477782949,0.2551517666810581,0.24678943627583327,0.07835491229854578,0.09311960870995971,-0.8147281417426643,0.8009892476780427,0.014950267992124273,-0.7598228001667454,0.44601278000458494,0.6673990141705761,-0.7764635951197755,0.2573805808408137,0.33428746913554785,0.8115873208081563,0.1977827460643817,-0.01815497252833139,-0.05106897195647788,0.23526069176066394,-0.03383076439328156
"Age dependency ratio, young (% of working-age population)",-0.8526471071028975,1.0,-0.2997006371439297,0.14656381568995225,-0.5974294261444583,-0.8301802370983389,-0.4541760547482021,0.17812794988410757,-0.08477341230569048,-0.32844644718382787,-0.31465936189046945,-0.06334111498556207,-0.1693245079308523,0.9883131903721558,-0.9215554268241813,-0.06649208024149682,0.7049757480713652,-0.5519355037978211,-0.6388346707917357,0.7993614690154559,-0.24849535845230183,-0.38957099840080206,-0.8486991851587402,-0.1574633503082431,-0.03737071572310118,-0.016863884685305846,-0.19195736016588444,0.12596662622925733
"Compulsory education, duration (years)",0.43038880928992357,-0.2997006371439297,1.0,-0.03557194745134898,0.18285306876002813,0.3476861439932792,0.17720349538245075,0.0032529454889673407,0.12933805455417863,0.15977274657627008,0.16961617691062378,-0.009230347405458222,0.048699940651601756,-0.29228786748006474,0.22025742347954447,0.09408798913611492,-0.2977432757165013,0.2347684200730696,0.4519514098799053,-0.31804087483207777,0.23765894482639874,0.17628961429986895,0.3679591485760903,0.2499206151527853,-0.10855039128064967,0.03239563572704492,0.24951467862229765,-0.117844308681247
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.3213722221181153,0.14656381568995225,-0.03557194745134898,1.0,0.16521703569567456,-0.04701664339369481,0.06845239299607077,-0.008653728108302823,0.08427139407485483,0.08058802652629166,0.05466780428708101,-0.08691273448282294,0.07329716495068403,0.12877781348222928,-0.049284087257344095,0.057293788087825044,0.3171652417626398,0.019892223701917934,-0.13173878851453083,0.2981501757899917,0.04545141357409624,0.05642473204419703,-0.19243548763110754,0.19114434550091067,0.2092863513307877,-0.04329608783527148,-0.005143828086357447,-0.30217151501385997
"GDP per capita, PPP (current international $)",0.481853708103431,-0.5974294261444583,0.18285306876002813,0.16521703569567456,1.0,0.7621143981442304,0.8102782899393617,-0.21927558361468588,0.05135048037000463,0.3244549104522015,0.2985480649735709,0.2032493618560043,0.27516408685963945,-0.6178409487678999,0.6288659718620124,0.058921864019770516,-0.4854322408272063,0.8272919064244157,0.6594323652367523,-0.665807594603901,0.23211938908150329,0.34435460363361053,0.645492780672272,0.19146893104234822,0.1667380491852405,-0.19231632223418477,0.22958118877693803,-0.0481547031976388
Individuals using the Internet (% of population),0.7348961390108593,-0.8301802370983389,0.3476861439932792,-0.04701664339369481,0.7621143981442304,1.0,0.6983639448951561,-0.19691303261294588,0.08943509477195251,0.3632635430006442,0.3493526330304328,0.06249512352346187,0.24769537244061265,-0.8567014974169749,0.713778061277356,0.17407194950869412,-0.6131029530444732,0.7731046252179422,0.754507257314944,-0.8347855200529237,0.2851489675483671,0.3938332596579536,0.8248777244229647,0.24699891683376066,0.027009445438823523,-0.11967854453451304,0.26288108738413285,-0.05491568490707823
"Industry (including construction), value added per worker (constant 2015 US$)",0.380586124495395,-0.4541760547482021,0.17720349538245075,0.06845239299607077,0.8102782899393617,0.6983639448951561,1.0,-0.2385313571541155,0.022665312086377606,0.28233586107923525,0.2757225551591224,0.12238864600142992,0.2260994199623519,-0.4757890124511061,0.3844141290961074,0.2045088465370436,-0.3387869899263491,0.8955453764230117,0.5915465365648377,-0.5698370260181529,0.18890272662840837,0.3031737920568651,0.5413745067045709,0.14992256564250656,0.19668836672550455,-0.2772550406391758,0.17316451021785098,-0.012016353562065577
"Inflation, GDP deflator (annual %)",-0.15527569618853798,0.17812794988410757,0.0032529454889673407,-0.008653728108302823,-0.21927558361468588,-0.19691303261294588,-0.2385313571541155,1.0,0.028144619150383788,-0.1200873557559035,-0.11647693455554803,-0.053623272311519365,-0.22918235513437432,0.2022896239184317,-0.15328287217167863,-0.05838485225248662,0.022801110756588507,-0.2330423255538065,-0.12475981197108481,0.18025481834214427,-0.06198508608942702,-0.10323571455547681,-0.1702297219023305,-0.14265610810338145,0.0004705055660614228,-0.03808153815947366,-0.11461999515784407,0.14478237155070292
Land area (sq. km),0.07686791477782949,-0.08477341230569048,0.12933805455417863,0.08427139407485483,0.05135048037000463,0.08943509477195251,0.022665312086377606,0.028144619150383788,1.0,0.5084209015164047,0.48963757211048176,0.12365327928939854,0.20648763596541905,-0.08636120636089135,0.09390286732406614,-0.03336354836425659,-0.11759197940664053,0.006517587881796556,0.11545373841132844,-0.09178576282501899,0.08662221910554029,-0.017029109645235668,0.02077401581430821,0.06490161548574776,-0.012889221508573329,0.011120799693519114,0.011718383929704784,-0.23983382561252833
Merchandise exports by the reporting economy (current US$),0.2551517666810581,-0.32844644718382787,0.15977274657627008,0.08058802652629166,0.3244549104522015,0.3632635430006442,0.28233586107923525,-0.1200873557559035,0.5084209015164047,1.0,0.9584548173516837,0.06758215646620576,0.3033001852362122,-0.35423467776964346,0.26001433468928586,0.1082955361508612,-0.28784411038664376,0.3444907322374084,0.2863602106534216,-0.29116584936412676,0.2428040806502845,0.17189528007091281,0.30440285165044384,0.17829244948951023,0.04392974593305458,-0.06782808043199903,0.1620679106420712,-0.18191162699745939
