,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8521697321364782,0.39636003979494616,-0.28797637482184796,0.5059985856251544,0.6317075246144196,0.33848161897728146,-0.055258494373441165,0.08903425992339735,0.2844273037648056,0.2653670461043271,0.08453912813859442,0.1455430198057472,-0.8154975304391312,0.8183324235410624,0.0484872246418033,-0.8153298887947451,0.44513952729512757,0.710736400787055,-0.7891599540925153,0.3602924100195142,0.2962644714140464,0.07056550417763363,0.1894642320950555,-0.02262729995180206,0.042593972115041116,0.1854766034923154,0.11499991684127757
"Age dependency ratio, young (% of working-age population)",-0.8521697321364782,1.0,-0.317495746233006,0.11702270258232557,-0.5996565888810618,-0.7411394287285799,-0.39863050219883167,0.17211303614500084,-0.10546833357965514,-0.35549674567927897,-0.33464162633873673,-0.027778639517446118,-0.16512339152621333,0.9886660277166286,-0.946652688232141,-0.13014997890640884,0.7372609154172884,-0.5360228777178235,-0.6608250061157451,0.8015079287561954,-0.4313348421652704,-0.2828023384889998,0.11687078727343395,-0.2587210946896775,0.03161706369899803,0.02911063570820917,-0.13752177619119363,0.03205762829857725
"Compulsory education, duration (years)",0.39636003979494616,-0.317495746233006,1.0,-0.1101353233685676,0.18795800949881425,0.3283152363688191,0.21451308082303852,-0.11966901071807479,0.07155987293762056,0.24384463876755677,0.25867776396408404,-0.018927782035870856,0.12678959232299822,-0.32520037216194486,0.21481633910119174,0.0590713863617375,-0.3123359572692677,0.2989166771943711,0.42371932294279663,-0.35060941873125595,0.23324648952686247,0.06918291451345755,0.031646617043552885,0.05498518734489525,0.018055396014628286,0.17914936294601405,0.0016214024631300685,-0.04268416677004379
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.28797637482184796,0.11702270258232557,-0.1101353233685676,1.0,0.1346977661861775,0.03316549773505408,0.033986935375273176,-0.0099865368666882,0.09488191121327075,0.06028619808845275,0.04674715307111306,-0.2695752947995816,0.04890940383815422,0.09418672786970164,-0.059762375017645274,0.11084736210757126,0.3533623373744481,0.0006674360788215269,-0.14795997602909866,0.29279385715542455,0.024074963657427267,0.1957491353291228,-0.2390043346697614,-0.02368328681821949,0.1520424368940062,0.02133673144213439,0.142094873981806,-0.14979910789596637
"GDP per capita, PPP (current international $)",0.5059985856251544,-0.5996565888810618,0.18795800949881425,0.1346977661861775,1.0,0.7288671413359085,0.7653760745418654,-0.11031487763453135,0.04035218479700594,0.3419975464884054,0.320791156044896,0.1212131680755457,0.3661295221274834,-0.6107751827459638,0.6544483608274876,0.0903238624958898,-0.5054482881731325,0.8713901278677775,0.6785092320045868,-0.6802248461080584,0.45186794083093906,0.32241489554536507,-0.07281094315768123,0.2925392332221111,0.22979717781840925,-0.3398182335558443,0.26154911611429665,-0.13501872810053772
Individuals using the Internet (% of population),0.6317075246144196,-0.7411394287285799,0.3283152363688191,0.03316549773505408,0.7288671413359085,1.0,0.6973896992722164,-0.4014918375909398,0.06463646985514898,0.460242813750516,0.4576470889599062,0.002821547166810698,0.31566077937113773,-0.7799472779497708,0.6315151675454334,0.3070418616009053,-0.5157726720079558,0.8104335249574367,0.6821872251958321,-0.750853790429852,0.46416907755628084,0.41732624797885515,-0.010279302449157398,0.25234355769704,0.21821316118116202,-0.24864569208751688,0.3016545518109984,-0.1258445574876625
"Industry (including construction), value added per worker (constant 2015 US$)",0.33848161897728146,-0.39863050219883167,0.21451308082303852,0.033986935375273176,0.7653760745418654,0.6973896992722164,1.0,-0.1428519708910494,0.02809590774009045,0.3186631372810271,0.3047861324507237,0.14021062537386175,0.3269996420615299,-0.40952253412820244,0.35656904003061396,0.2170978694061405,-0.33645289279817037,0.8113325674162385,0.5300115640394235,-0.5163869517617223,0.49062452631556946,0.3576011459791964,-0.051482129495288145,0.2980509830519815,0.28566245693034004,-0.31664643348212124,0.2881848889014591,-0.1557765209502897
"Inflation, GDP deflator (annual %)",-0.055258494373441165,0.17211303614500084,-0.11966901071807479,-0.0099865368666882,-0.11031487763453135,-0.4014918375909398,-0.1428519708910494,1.0,0.029355455718225707,-0.24513190812444569,-0.2743187803943225,0.17194865099397308,0.014968461217233274,0.22648325121375865,-0.05228745751926886,-0.16654831790659258,-0.01668778678940925,-0.3611467551429926,-0.14069412114441698,0.11257711989270544,-0.21725841623154046,-0.13467210034338553,0.08070088783587155,-0.14695380662100968,-0.21830073061734045,0.03628720705687312,-0.2524518023017636,0.10624994608068343
Land area (sq. km),0.08903425992339735,-0.10546833357965514,0.07155987293762056,0.09488191121327075,0.04035218479700594,0.06463646985514898,0.02809590774009045,0.029355455718225707,1.0,0.46922318634289145,0.43438352402925,0.09628008023062926,0.16853607596122352,-0.1062782830805747,0.11902002704542482,-0.029254412650465023,-0.10562081426491893,0.0035532834244675847,0.1185354352675916,-0.08681684630424645,0.05995945059877735,0.12464867408012481,-0.04169233657614215,0.15830922033366965,-0.1154433200666815,-0.021612772335640174,-0.08555205660638378,-0.05600829847580844
Merchandise exports by the reporting economy (current US$),0.2844273037648056,-0.35549674567927897,0.24384463876755677,0.06028619808845275,0.3419975464884054,0.460242813750516,0.3186631372810271,-0.24513190812444569,0.46922318634289145,1.0,0.9307691239194359,0.07158343498529644,0.24575183387189123,-0.3823625306966431,0.28661866690530635,0.1355493848459595,-0.3053145749567249,0.3766599501523878,0.3180479486960227,-0.3198822245068681,0.08938967303665947,0.164931454296555,-0.04657923964745799,0.23544227020749048,0.031550364102353234,-0.10868352025011352,0.14452735501382968,-0.16614167749862202
