,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8582960634414549,0.4311956478254471,-0.26552702689265156,0.5217276193678343,0.7527724850256957,0.3525062259715368,-0.0486782558445468,0.06510581479111224,0.23048262641555278,0.23363902615622426,0.08437201227498836,0.09777248155502183,-0.8173082173297052,0.8000078776816001,0.014233464415315094,-0.7456516155648389,0.43339391494389373,0.6479439787129401,-0.7682641930144248,0.3869415270332989,0.20348367363364994,0.8151781988047687,0.030867804270393526,-0.02611331413329588,0.06346988857889055,0.04350960042275181,-0.04652125317127015
"Age dependency ratio, young (% of working-age population)",-0.8582960634414549,1.0,-0.3006121691201408,0.08606940288104596,-0.6519340046302039,-0.8419247121083415,-0.4328881306089996,0.0835531676038349,-0.07974866773449386,-0.3079893419121218,-0.30204571376392164,-0.05827347123051298,-0.2050466309743604,0.9880209100409674,-0.9083897476467659,-0.049041532414803836,0.6837052817850936,-0.5504798301905239,-0.6291929461187872,0.8006099019264304,-0.3655763681397744,-0.27261599804124353,-0.8831055165940499,-0.08292086150133832,-0.02433341627009176,0.011744637851422043,-0.04092937929351,0.19993590758384333
"Compulsory education, duration (years)",0.4311956478254471,-0.3006121691201408,1.0,-0.03108167940363604,0.20747954066092125,0.3493487620287337,0.1563951021740102,0.12423215409016466,0.12116356927415402,0.13137317880909416,0.15693327555856287,-0.07090271065162904,0.0845570179630796,-0.28995995952849696,0.2242110015763961,0.09270715900989424,-0.3083247758139499,0.22764680017399572,0.43302472731006075,-0.31369606894130914,0.3844634379269213,0.2204357843427639,0.3586167453609616,0.08771297110360331,-0.10708173812736398,0.09164454601833025,0.13876380317876752,-0.011619591234127844
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.26552702689265156,0.08606940288104596,-0.03108167940363604,1.0,0.14327434059246336,-0.010008994329698333,0.09083251427483988,-0.10039551123253318,0.07102141321844344,0.08377134012300569,0.061840486406807504,-0.06492472065725635,0.06667844425962387,0.06793245226912496,0.013884847004674341,0.039466509496857705,0.286896822999082,0.05933585624558918,-0.0944014936456823,0.2529199011568692,-0.008956415369346115,0.03935900329025084,-0.09101892813720022,0.13589470417431396,0.2707429131615129,-0.05918219387000801,0.23618910268818705,-0.1419783208781513
"GDP per capita, PPP (current international $)",0.5217276193678343,-0.6519340046302039,0.20747954066092125,0.14327434059246336,1.0,0.8111364212621521,0.8403630481722489,-0.297314581746356,0.05671930078622378,0.33760391174004833,0.362869877380772,0.09269771943598865,0.32009470231501147,-0.6833531077202512,0.6121638648151291,0.10186844909436475,-0.4929826617372354,0.9173261381254093,0.6802553962393062,-0.7099250988137512,0.3036674105508534,0.253360742045426,0.6737626089204617,0.130217551925813,0.2171384427013256,-0.31612141821691264,0.10141842835784817,-0.20068884789985947
Individuals using the Internet (% of population),0.7527724850256957,-0.8419247121083415,0.3493487620287337,-0.010008994329698333,0.8111364212621521,1.0,0.6461134907243956,-0.09743643284654568,0.08581389775012863,0.3136333622795032,0.3220430911380567,0.075048030730029,0.3090871394345334,-0.861777336221156,0.7244491803751621,0.12098643632309133,-0.6272583724387342,0.7396944330974576,0.7802441730606288,-0.8444275042340104,0.4134042824551154,0.2713098510049775,0.8440749800473547,0.04958178940141556,-0.005319458168675505,-0.1313521838589324,0.0096630332014092,-0.2356543792465214
"Industry (including construction), value added per worker (constant 2015 US$)",0.3525062259715368,-0.4328881306089996,0.1563951021740102,0.09083251427483988,0.8403630481722489,0.6461134907243956,1.0,-0.22042006688291135,0.06312403432704121,0.26706556840527657,0.2900809378175985,0.06470207140156546,0.26695105225781257,-0.4575421239723314,0.3440818059909262,0.17035397893830548,-0.29490334472988544,0.8712521725295099,0.5300923777776886,-0.533537601820607,0.2074897260746686,0.2218249352012466,0.544566736000144,0.18234570540056483,0.2649031977316006,-0.40832400881244496,0.10591780398992466,-0.2148866869237299
"Inflation, GDP deflator (annual %)",-0.0486782558445468,0.0835531676038349,0.12423215409016466,-0.10039551123253318,-0.297314581746356,-0.09743643284654568,-0.22042006688291135,1.0,0.016133503145992358,-0.05797386939817518,-0.05421073938662325,-0.2142046621841999,-0.11046173178730391,0.08433624360109754,-0.14344958458918433,-0.03797447678379282,0.02594398128095465,-0.20014603935877365,-0.07055348906325468,0.08525126243373175,-0.09099352846402167,0.025895771599287135,-0.06823511212989504,-0.06799416258937402,-0.05973713809504388,0.07010872674485176,0.07931254339212122,-0.07807408150553267
Land area (sq. km),0.06510581479111224,-0.07974866773449386,0.12116356927415402,0.07102141321844344,0.05671930078622378,0.08581389775012863,0.06312403432704121,0.016133503145992358,1.0,0.48087445325487516,0.4656984038640765,0.14615419049654851,0.1644140895982766,-0.08118539402237797,0.08331983367805669,-0.029793751093228845,-0.11559556013719463,0.07952010642928194,0.11602852822829829,-0.09058174227647606,0.12146202040456228,0.09714924071585655,0.02875953899987279,0.07424912076933617,-0.0055389858901823096,0.022982524527707143,0.022662309850658497,-0.16546642336269207
Merchandise exports by the reporting economy (current US$),0.23048262641555278,-0.3079893419121218,0.13137317880909416,0.08377134012300569,0.33760391174004833,0.3136333622795032,0.26706556840527657,-0.05797386939817518,0.48087445325487516,1.0,0.9342295264935333,0.022999634143167306,0.2727030114234242,-0.33435053095504397,0.23113086639685565,0.09805950616667478,-0.25711742679451033,0.371835692465978,0.25646895484311205,-0.26322755771963086,0.12205420320710282,0.16834875330460108,0.3042313023681755,0.18532483366916472,0.016675057508117017,-0.10951382844812609,0.06121475607965983,-0.12768527882106792
