,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8486535815106123,0.41806050372130193,-0.19457820641137327,0.5034813685060258,0.7920094737287795,0.34006086827629356,0.048491676468341766,0.0640577697322479,0.22864250137345246,0.2256388112063654,0.13345676635732245,0.02381232726914744,-0.8038473139106236,0.7776905468980743,0.09451110434745735,-0.7115671907327067,0.41846068296260835,0.601164878524748,-0.7472885729024776,0.27729160066234937,0.27237165628887555,0.1339521233239526,0.05575962769564618,-0.2204879877510802,-0.1391732465001968,0.006251256531947702,-0.2641942284664817
"Age dependency ratio, young (% of working-age population)",-0.8486535815106123,1.0,-0.29687828388146853,0.013852250707584259,-0.6646146692098854,-0.875497635374505,-0.4412784437005707,-0.008524796500069461,-0.07208747813652316,-0.3153196680012412,-0.3042605660494827,-0.0917479707657771,-0.11658180854253669,0.9878061358251408,-0.8850908448462198,-0.1236075010618825,0.6641796325228885,-0.556771224780565,-0.6213866994423252,0.8034088311352021,-0.3003116309670741,-0.25846580639534944,-0.16685031114863802,-0.10761665344035368,0.1962561185125778,0.260694693341909,0.007766806279562072,0.29894776946396606
"Compulsory education, duration (years)",0.41806050372130193,-0.29687828388146853,1.0,0.009291756029495864,0.20538173124412554,0.3333493528076034,0.14851553594054576,0.23903007166851248,0.10161442507724158,0.11548391249233798,0.12875261277530106,-0.007532333412623099,0.015442322553346991,-0.2885257921888258,0.20588991807967855,0.15381695877499588,-0.2796931452963681,0.22140924611929516,0.40877070946144084,-0.28609953654247283,0.2066153081617683,0.06558585270039843,-0.14850600619748325,0.06147651196198518,-0.16368006325551823,-0.057968988072489146,0.166219666922309,-0.050664602694834866
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.19457820641137327,0.013852250707584259,0.009291756029495864,1.0,0.1979350845394855,-0.006616685434636077,0.11232915389937563,-0.009989802876760727,0.05177778436196668,0.09129398761494303,0.07601906471764798,-0.10223939877452153,0.04848840552589656,-0.009982762029667603,0.07449028745103758,0.021556988627957897,0.2422212781896804,0.09902846859024234,-0.04222216978928485,0.20014882133212622,0.06794769803431869,-0.017408385164389983,-0.1044645027457605,0.16672706544654106,0.23234180871102722,-0.0006166178117546504,0.18732312471824752,-0.14809203783132463
"GDP per capita, PPP (current international $)",0.5034813685060258,-0.6646146692098854,0.20538173124412554,0.1979350845394855,1.0,0.7782384501373251,0.8446492443411897,-0.108370293574844,0.052076951373220125,0.34710644980409483,0.348825675576469,0.12813375536390206,0.20637775835581945,-0.6993826867777444,0.5956263156002998,0.13152751632214352,-0.4663298810704315,0.9154641370228986,0.6699403904218532,-0.7136150612121572,0.4093324199461968,0.13619738201778156,0.08021642665827713,0.13880039002938788,-0.11931777811564613,-0.47643517230498217,0.13489665823260766,-0.22403226952077296
Individuals using the Internet (% of population),0.7920094737287795,-0.875497635374505,0.3333493528076034,-0.006616685434636077,0.7782384501373251,1.0,0.6139440093006404,-0.114495886515187,0.07887886810763632,0.2896060978819662,0.28258217656234186,0.1885043226201142,0.2434965926072767,-0.8745917546410921,0.7617516579083948,0.12178641945128826,-0.6562458766094483,0.6909641977803418,0.7755097208875977,-0.8812962091429166,0.38522722456545755,0.18741848274480286,0.15046177972641028,0.10331015519569389,-0.25642953689716147,-0.34305284825518273,0.09644881297340249,-0.3220831906148699
"Industry (including construction), value added per worker (constant 2015 US$)",0.34006086827629356,-0.4412784437005707,0.14851553594054576,0.11232915389937563,0.8446492443411897,0.6139440093006404,1.0,-0.11395188975038234,0.022780048789244438,0.2572114581779923,0.265346789762367,0.038899834051428175,0.15725604946619992,-0.46740777383936777,0.3377261742673008,0.1975080389669833,-0.267194964765417,0.8798904094079433,0.5410948871570994,-0.5398227016213039,0.39473576474072897,0.045062613107924365,0.01205954797038752,0.10165327971380315,-0.021467055596540063,-0.4692129092605046,0.21633582825212952,-0.18239629565536983
"Inflation, GDP deflator (annual %)",0.048491676468341766,-0.008524796500069461,0.23903007166851248,-0.009989802876760727,-0.108370293574844,-0.114495886515187,-0.11395188975038234,1.0,0.0035228366865494047,-0.022534619764287972,-0.02773989843917904,-0.100340795720232,-0.40457132463381745,0.0023542196042668244,0.015682136836229092,-0.006896169113199374,-0.05230577537231602,-0.1679362476505588,0.10263221163170219,-0.005726313239603093,0.0008402337955670557,0.05143833278074311,0.08331291013012224,-0.01734298046810561,0.0535288826577071,0.050704314831249334,0.05019055071227533,0.07606643920634909
Land area (sq. km),0.0640577697322479,-0.07208747813652316,0.10161442507724158,0.05177778436196668,0.052076951373220125,0.07887886810763632,0.022780048789244438,0.0035228366865494047,1.0,0.484276051240793,0.46745111427282093,0.1237210902496459,0.2231467760367878,-0.074378016767621,0.06504578552439191,-0.01656776118564554,-0.11139472457272218,0.007584165957928642,0.11832501579894328,-0.08648281071354343,0.09638799463119964,0.02869819045078698,0.10995207767158723,0.056048059915828126,0.010808592851140999,-0.024071573076462457,0.09628945279662264,-0.13441364628742503
Merchandise exports by the reporting economy (current US$),0.22864250137345246,-0.3153196680012412,0.11548391249233798,0.09129398761494303,0.34710644980409483,0.2896060978819662,0.2572114581779923,-0.022534619764287972,0.484276051240793,1.0,0.9547988650687863,0.026453030331172453,0.29658434157716224,-0.3434419779272978,0.2136967764925981,0.1003870651802987,-0.25871368027253455,0.32914041543413697,0.2706314643703545,-0.27292206630371846,0.1766242073963333,-0.015349836542300186,0.11822801810167403,0.04182813040559777,-0.03287565478391253,-0.2720240988209738,0.035607148842752165,-0.19446526584856058
