,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8523753491317861,0.39734291977564556,-0.2961323746188766,0.5015269665024918,0.607952633154398,0.4038437001158278,-0.016388147373126164,0.09148745206717901,0.2831750793726124,0.26084819971327305,0.14514179207258937,0.16491264136621403,-0.8163669106822736,0.8230232562908526,0.08344239932651062,-0.8267752028905238,0.4452409075026962,0.7194956814544489,-0.8004879519491732,0.4270602773087517,0.2424136794277541,0.06499657306863084,0.16604377125137457,-0.17016196506098427,-0.09554505546173395,-0.01792185893065826,0.1797373762695439
"Age dependency ratio, young (% of working-age population)",-0.8523753491317861,1.0,-0.32295671232336026,0.12580960859987375,-0.585314293346205,-0.7161128124287123,-0.4302145607370165,0.08988538134136326,-0.1089820227211902,-0.3575737280830197,-0.3307191970514204,-0.047837581447497855,-0.2071695900648634,0.9887217130066489,-0.9510196926620955,-0.16757248535423372,0.7440742664229785,-0.5336515041045345,-0.6637559430066826,0.8020232301790136,-0.40924954858644924,-0.16598993534835949,0.1387076985810115,-0.12060232624714001,0.19618067451294283,-0.021231725793746256,0.07451332748140652,-0.13651590868086094
"Compulsory education, duration (years)",0.39734291977564556,-0.32295671232336026,1.0,-0.090698570673814,0.17878702380092096,0.32712087941281626,0.23514615361587574,-0.19832634791548157,0.07805777071294301,0.2652033829781165,0.27471046470530097,-0.01292820710688176,0.22369300803711703,-0.3265675122554163,0.23166110848423208,0.08783573797151713,-0.3154773994117624,0.3030099593679353,0.40956928303341333,-0.3576616090951487,0.10540273428366374,0.12884885972536825,0.03499662671738494,0.05185645268662688,-0.015144519901228134,0.02990039054498981,-0.1074705275320677,-0.047776584277026246
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.2961323746188766,0.12580960859987375,-0.090698570673814,1.0,0.13428555093304753,0.04405062272013739,0.017863851454471478,-0.04516433906958412,0.09406030596638577,0.056899047346967525,0.044781405506569685,-0.25332954497619775,0.06922042999009062,0.10633431200790562,-0.0719611988029356,0.12959643098603635,0.3578008953039198,0.0025104065547241145,-0.15818646573199083,0.30372044663426545,-0.08519831286161446,-0.07533409380166098,-0.2179610229567786,-0.010284883950250682,0.23071047446749496,-0.10413680275576184,0.11413161684209071,-0.151477101367061
"GDP per capita, PPP (current international $)",0.5015269665024918,-0.585314293346205,0.17878702380092096,0.13428555093304753,1.0,0.7095841564987252,0.800785267286855,-0.214684114618987,0.03487552114037364,0.33104686460556587,0.3164946794380315,0.14962067805842794,0.3839667376439114,-0.5916719595276186,0.6489626090275539,0.0972779083362533,-0.5057509510316642,0.859990728364717,0.6732083420842626,-0.6689030641532016,0.544664407910302,0.24508718526592646,-0.07488039438014085,0.18892295949627283,0.17919226186468468,-0.1375154814601648,0.14518533783289908,0.052525552186550695
Individuals using the Internet (% of population),0.607952633154398,-0.7161128124287123,0.32712087941281626,0.04405062272013739,0.7095841564987252,1.0,0.6886657180507977,-0.3414078597451424,0.06311251082744357,0.4799989379365586,0.47438016733444116,-0.046576090375643864,0.3141652330664949,-0.7576632581004538,0.6113140837353975,0.3683008250652768,-0.5010360105802707,0.8186754043671267,0.6665046337694147,-0.7245298018186732,0.4934552624262992,0.2676337952196988,-0.01590873643549345,0.1658798504149934,0.14480188719638296,-0.09631863944688665,0.10047069482275134,0.08913869937891036
"Industry (including construction), value added per worker (constant 2015 US$)",0.4038437001158278,-0.4302145607370165,0.23514615361587574,0.017863851454471478,0.800785267286855,0.6886657180507977,1.0,-0.3223736485398414,0.02460442517812939,0.2984833635392607,0.2965778539783449,0.09246948198646003,0.2661548327575184,-0.43830692943908595,0.3948805536712601,0.21822038380441253,-0.3267224109216651,0.838105401019173,0.5912253326266003,-0.5638951508754009,0.5475008767682017,0.2432853480786099,-0.06182458004615581,0.15917021118471636,0.2614155373971391,-0.18750913077998538,0.20596099956548108,0.02502245698026607
"Inflation, GDP deflator (annual %)",-0.016388147373126164,0.08988538134136326,-0.19832634791548157,-0.04516433906958412,-0.214684114618987,-0.3414078597451424,-0.3223736485398414,1.0,0.060013834442633286,-0.22964286313243995,-0.2343092328908173,0.06923204673085795,-0.13691177708456126,0.10873327851608128,-0.019209946599047616,-0.06481311011406847,0.02853387484421364,-0.36096169574369663,-0.23644735424405905,0.15226442036941978,-0.09009868059741333,-0.06266151309800222,-0.05683660650410239,0.008480847042088962,-0.31131949719237667,0.10851370930446819,-0.13214616840673232,-0.0269095215020303
Land area (sq. km),0.09148745206717901,-0.1089820227211902,0.07805777071294301,0.09406030596638577,0.03487552114037364,0.06311251082744357,0.02460442517812939,0.060013834442633286,1.0,0.44338415318968805,0.4208009160600867,0.07766876043899085,0.09956568113072137,-0.10963046482773414,0.1231668803750772,-0.03194070461896376,-0.10179486548711118,-0.0006099937539760543,0.11872575500504044,-0.08633159370674315,0.18302765860653503,0.11914443712259781,-0.042832671047580755,0.012706301774262537,-0.056224941984302425,0.029061149468657198,0.14314899989518493,0.05160096631139091
Merchandise exports by the reporting economy (current US$),0.2831750793726124,-0.3575737280830197,0.2652033829781165,0.056899047346967525,0.33104686460556587,0.4799989379365586,0.2984833635392607,-0.22964286313243995,0.44338415318968805,1.0,0.9253485366420762,0.033180834359481194,0.17707282450341788,-0.3851046697124784,0.28864012551845664,0.14998391335188868,-0.29949926876302213,0.3849664361183202,0.3149070605142198,-0.31745756851284324,0.31720256354619497,0.15012193998632833,-0.04595698103314994,0.18056620337755327,0.08459958720779456,-0.004584276968509281,0.15672455199271834,0.04156395015390548
Merchandise imports by the reporting economy (current US$),0.26084819971327305,-0.3307191970514204,0.27471046470530097,0.044781405506569685,0.3164946794380315,0.47438016733444116,0.2965778539783449,-0.2343092328908173,0.4208009160600867,0.9253485366420762,1.0,0.04459903036773037,0.318304365124595,-0.35756439624384506,0.25665230432855485,0.13993048787063594,-0.28038918466455753,0.43302816676580735,0.2946499256525288,-0.30333734074908775,0.3225227346816605,0.11054279946605898,-0.04155330624806404,0.17974498201518432,0.12689519731934626,-0.015357900310800901,0.1504814699791555,0.05559096576631709
Military expenditure (% of GDP),0.14514179207258937,-0.047837581447497855,-0.01292820710688176,-0.25332954497619775,0.14962067805842794,-0.046576090375643864,0.09246948198646003,0.06923204673085795,0.07766876043899085,0.033180834359481194,0.04459903036773037,1.0,0.1907978448147666,-0.022671153093910112,0.10858941723380468,-0.3147637785014367,-0.24564325562785191,-0.0691212701767646,0.1434913643997438,-0.14494021159189419,0.1727968155656613,0.011839702076775895,0.16652407569087715,0.055987288502722284,-0.1051061047217656,0.07592947278531072,-0.03237973791865134,-0.025923811642314207
Net migration,0.16491264136621403,-0.2071695900648634,0.22369300803711703,0.06922042999009062,0.3839667376439114,0.3141652330664949,0.2661548327575184,-0.13691177708456126,0.09956568113072137,0.17707282450341788,0.318304365124595,0.1907978448147666,1.0,-0.2144037079741094,0.2037974022630001,-0.0010906940306405568,-0.1741487243715817,0.23928516175601583,0.2648106148476671,-0.29384315200291694,0.2214452023382072,0.07770318435661433,-0.006759781036576705,0.07299128838391827,0.16799599561379516,-0.01008017837315391,0.09680705661073058,-0.05873891294579726
Population ages 0-14 (% of total population),-0.8163669106822736,0.9887217130066489,-0.3265675122554163,0.10633431200790562,-0.5916719595276186,-0.7576632581004538,-0.43830692943908595,0.10873327851608128,-0.10963046482773414,-0.3851046697124784,-0.35756439624384506,-0.022671153093910112,-0.2144037079741094,1.0,-0.9176170913427469,-0.20215815603734588,0.7129462718354371,-0.5657929762119945,-0.6519809996447535,0.789687468775411,-0.38402084339552595,-0.14235665766970848,0.13345450016018337,-0.10475605665409332,0.21409226991320923,-0.04690749228395704,0.10093355655890954,-0.14658071865873062
Population ages 15-64 (% of total population),0.8230232562908526,-0.9510196926620955,0.23166110848423208,-0.0719611988029356,0.6489626090275539,0.6113140837353975,0.3948805536712601,-0.019209946599047616,0.1231668803750772,0.28864012551845664,0.25665230432855485,0.10858941723380468,0.2037974022630001,-0.9176170913427469,1.0,0.05916095892471524,-0.7566482855155745,0.4477859914580834,0.6399436912535396,-0.7656372951275461,0.3987911793939087,0.1793339600931259,-0.13973247653239088,0.13377605767235162,-0.18111545308683075,-0.014453828473558144,-0.03942625073873396,0.1137448124515302
Proportion of seats held by women in national parliaments (%),0.08344239932651062,-0.16757248535423372,0.08783573797151713,0.12959643098603635,0.0972779083362533,0.3683008250652768,0.21822038380441253,-0.06481311011406847,-0.03194070461896376,0.14998391335188868,0.13993048787063594,-0.3147637785014367,-0.0010906940306405568,-0.20215815603734588,0.05916095892471524,1.0,-0.010968167647202674,0.3262775000373946,0.09016835979084982,-0.19677032399039615,0.2879363207931545,0.20793630177640773,0.16256993966521344,0.08875709897949019,0.12469178171847665,-0.17755196094219464,0.1211908336813954,-0.1412126473616423
Renewable energy consumption (% of total final energy consumption),-0.8267752028905238,0.7440742664229785,-0.3154773994117624,0.3578008953039198,-0.5057509510316642,-0.5010360105802707,-0.3267224109216651,0.02853387484421364,-0.10179486548711118,-0.29949926876302213,-0.28038918466455753,-0.24564325562785191,-0.1741487243715817,0.7129462718354371,-0.7566482855155745,-0.010968167647202674,1.0,-0.3983800011255528,-0.64526431772402,0.7598042579287242,-0.4388105336515028,-0.17975634021659145,-0.043855960116725164,-0.13133823025492508,0.282759288432671,-0.052960424749964756,-0.010491520284718184,-0.21458803064844617
"Services, value added per worker (constant 2015 US$)",0.4452409075026962,-0.5336515041045345,0.3030099593679353,0.0025104065547241145,0.859990728364717,0.8186754043671267,0.838105401019173,-0.36096169574369663,-0.0006099937539760543,0.3849664361183202,0.43302816676580735,-0.0691212701767646,0.23928516175601583,-0.5657929762119945,0.4477859914580834,0.3262775000373946,-0.3983800011255528,1.0,0.5845584028101897,-0.5943760737083891,0.5287596114855831,0.21870935805856737,-0.03271223637102351,0.19735839708688593,0.29052747186240835,-0.1545888047125114,0.15201997385234753,0.0359191033487777
Urban population (% of total population),0.7194956814544489,-0.6637559430066826,0.40956928303341333,-0.15818646573199083,0.6732083420842626,0.6665046337694147,0.5912253326266003,-0.23644735424405905,0.11872575500504044,0.3149070605142198,0.2946499256525288,0.1434913643997438,0.2648106148476671,-0.6519809996447535,0.6399436912535396,0.09016835979084982,-0.64526431772402,0.5845584028101897,1.0,-0.7413889455429221,0.4456582639563241,0.26060920343666405,0.11939528679972031,0.1142212148711987,-0.02157192954705757,-0.11435041831135032,0.08444360116574968,0.17055727544341434
