,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8320865155992553,0.4130457860625496,-0.22963372166968984,0.4970928917579187,0.8082658398839895,0.31452468971721426,0.0033052632927555044,0.05897394306736148,0.2082195076782075,0.2093894311505538,0.1651655775460208,0.009028255263809355,-0.7858399289570086,0.756019127278782,0.12639015992476796,-0.6955186682471702,0.4029672186514158,0.5767278767332726,-0.7374806827818393,0.2657382584372503,0.27242981495470975,-0.004304147237302369,0.29394492010159035,-0.2703066248103578,0.05320576933137711,-0.05907917106063715,-0.12537429552637935
"Age dependency ratio, young (% of working-age population)",-0.8320865155992553,1.0,-0.2987288175864569,0.02398864442780764,-0.6708387313620433,-0.8818568753687792,-0.4163616616120875,0.04493818004074378,-0.06863933788283476,-0.3022813823489411,-0.2972757504649284,-0.1129190795687683,-0.09295264642179928,0.9877539205746964,-0.8667935568618449,-0.19279492427300265,0.6461424596851166,-0.5515162428096134,-0.6122389606827577,0.7985099825555365,-0.3255751473584981,-0.3766540385114861,-0.11308592647476785,-0.2813799069023083,0.1891785102338291,0.06832290434573039,0.08252387184752065,0.19904355544837277
"Compulsory education, duration (years)",0.4130457860625496,-0.2987288175864569,1.0,-0.04563170101545186,0.23459161340267828,0.3779724653013108,0.14684435287597422,0.19427518896096005,0.10008544393321105,0.1174892536453613,0.13924925269582628,0.014346711399869065,0.0684394199394297,-0.29312722936552477,0.19309942761072482,0.1543581959676175,-0.24878748486320118,0.24487090335429615,0.41496357833742986,-0.292259663608792,0.11235417355074587,0.24371905241437714,-0.22199844508215652,0.14697666099641288,-0.2762778764441011,0.15403214958682443,0.159200928188142,-0.08169438151158952
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.22963372166968984,0.02398864442780764,-0.04563170101545186,1.0,0.19287471679669027,-0.016478567566688813,0.11838435962836422,-0.07909914819244213,0.029532974412546327,0.09526893572228323,0.0792715206867462,-0.10184457925822456,-0.03485447043359651,-0.008426951981766522,0.038904538377107827,0.06263029682466392,0.25424170830563925,0.09916093730903448,-0.07141862469587609,0.21884119478861316,0.02952186617801045,-0.0029106497658153967,-0.009165402869192945,0.19109381776486487,0.36480548818695346,0.021432506399323585,0.1583907776143227,-0.20219650637270423
"GDP per capita, PPP (current international $)",0.4970928917579187,-0.6708387313620433,0.23459161340267828,0.19287471679669027,1.0,0.7345670284999757,0.8541101934584631,-0.12141341133384573,0.059054759558673973,0.33216892067306575,0.3544104857395384,0.07467707038012517,0.15989460317018178,-0.7113449456439914,0.5348000978387567,0.2376371541261493,-0.4364817537211018,0.9287297335801731,0.6522369361920208,-0.715941170756235,0.406667166172969,0.2937083639599678,0.0896638953931153,0.26656979733694863,-0.14847359262778567,-0.34782775867251037,-0.004930583410032784,-0.27572852070141196
Individuals using the Internet (% of population),0.8082658398839895,-0.8818568753687792,0.3779724653013108,-0.016478567566688813,0.7345670284999757,1.0,0.5391914218918243,-0.14802006870168943,0.08978516842347149,0.2613073231183073,0.26806996248834536,0.23813384729591075,0.18773135878755354,-0.8674756484840543,0.7791076697279813,0.16676904931403708,-0.6802196088463333,0.6304930848138469,0.7836198022781469,-0.8629309053935631,0.32891021213338767,0.3790029079827847,0.03001305714856287,0.28628700627619336,-0.238197387666975,-0.12251303636326606,0.006155748954588802,-0.2571119015068567
"Industry (including construction), value added per worker (constant 2015 US$)",0.31452468971721426,-0.4163616616120875,0.14684435287597422,0.11838435962836422,0.8541101934584631,0.5391914218918243,1.0,-0.1011310294772521,0.01574437072969719,0.20767927656382532,0.22644720799242826,0.036094214885689806,0.10333189350710939,-0.4395775281174303,0.31816402719026154,0.20793517401483377,-0.2486774124956291,0.8795197457902542,0.5023141002926248,-0.5166075903691717,0.25474786664772797,0.0658746249069353,-0.023889123635204023,0.2462873938419283,-0.040700146793323594,-0.42974913388533115,0.046436525502755094,-0.1546363807321964
"Inflation, GDP deflator (annual %)",0.0033052632927555044,0.04493818004074378,0.19427518896096005,-0.07909914819244213,-0.12141341133384573,-0.14802006870168943,-0.1011310294772521,1.0,0.0006737688253014933,-0.042513838149159766,-0.041936603976590756,-0.04967803782731385,-0.3289659035595067,0.0518020209995566,-0.04562282796801041,-0.01157224142130469,0.039404581284112644,-0.09384365220161779,0.06492659769529513,0.038671757788725544,-0.11007979391940255,0.019665937215363583,0.09924464902980558,-0.04881992340565,0.009285049529706489,0.06150697848616715,0.039747546044727196,0.11613743761725438
Land area (sq. km),0.05897394306736148,-0.06863933788283476,0.10008544393321105,0.029532974412546327,0.059054759558673973,0.08978516842347149,0.01574437072969719,0.0006737688253014933,1.0,0.47096792681173016,0.47413584547320714,0.12836183524358039,0.21384665746266998,-0.07270814253085242,0.054825027526516086,-0.04205072453082882,-0.10962517470634031,0.019692831335884366,0.1186539856392953,-0.08527639362215796,0.002347658480664895,0.11179010522612165,0.10392847126315097,-0.056670637853966366,0.025153163147241437,-0.014083810943194832,0.07220621593871861,-0.11332583593809457
Merchandise exports by the reporting economy (current US$),0.2082195076782075,-0.3022813823489411,0.1174892536453613,0.09526893572228323,0.33216892067306575,0.2613073231183073,0.20767927656382532,-0.042513838149159766,0.47096792681173016,1.0,0.9442090590471761,0.015731805369733013,0.18137728238715375,-0.33009749271391436,0.18781021372651285,0.09615867578127998,-0.2373653582406039,0.30934057283613403,0.24659943017633762,-0.25190290516243585,0.21007064594908798,0.13402463826985409,0.1304200309794289,0.039320138735486766,-0.09956922907718962,-0.22212265493566458,0.01558518125301363,-0.116466222405501
