,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.826232532841057,0.4143136586447979,-0.19965855039677763,0.47723093207310474,0.8281188553957127,0.3019462257661542,0.03460660537017566,0.058743978761616265,0.20704888374571573,0.21249219735732905,0.13958173341107177,0.0543810037915437,-0.779876172986127,0.7439907468817885,0.08786511893695267,-0.6910244478950447,0.40101783631578153,0.5661239998502281,-0.73066808860082,0.24927398612398452,0.1086416362463076,0.7409007667611213,0.08756401619530614,-0.055783516522764,-0.04397741630711829,0.08288400534283942,-0.1280760482336767
"Age dependency ratio, young (% of working-age population)",-0.826232532841057,1.0,-0.31528292877328423,0.010654066942672024,-0.651889843219887,-0.8746308594920503,-0.40771717494171456,0.009136514186149702,-0.06676424309624382,-0.30230428605980514,-0.3022786468069971,-0.11297008385324893,-0.18429619894481492,0.9877057851255235,-0.8553332291080178,-0.16670271398086742,0.6386369438401535,-0.5560214164878904,-0.6086989360946775,0.7933662314220263,-0.34847950344623774,-0.1337454644628754,-0.8763246299473989,-0.14248866242874528,-0.07311124620703552,0.17417582703642825,-0.20174263248716637,0.2721334266111608
"Compulsory education, duration (years)",0.4143136586447979,-0.31528292877328423,1.0,0.03132768752405215,0.24812474737824378,0.37836051939840787,0.14752109209173955,0.17400298872436637,0.09728504101551812,0.11415346659102468,0.1403493572529111,0.005348708596300177,0.11857956535145142,-0.3098463561506965,0.22164480191207686,0.1666518847289315,-0.27372670915249675,0.2631254577261757,0.43953578479157024,-0.3140759715907337,0.19921318950246494,0.2963516458395984,0.3199461839736154,0.033049056429933846,-0.12095417307164706,-0.02917630371818609,0.08207476189829573,0.028683320025765794
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.19965855039677763,0.010654066942672024,0.03132768752405215,1.0,0.21164086953473846,-0.09533234979826828,0.12315003705110752,-0.13529622967538216,0.05140995233111827,0.10550400052039713,0.08748718614059202,-0.01712259114578414,0.008952498504840568,-0.0186501855564185,0.05170316759674965,0.10291520235398519,0.23731204516507332,0.1088298486498719,-0.03621830127589109,0.2163666453857218,0.07674729918330007,0.02593477659581778,-0.019839439359424664,0.24831218330101187,0.2752095628201861,-0.09308838063591886,0.19031173654372277,-0.16977289076718993
"GDP per capita, PPP (current international $)",0.47723093207310474,-0.651889843219887,0.24812474737824378,0.21164086953473846,1.0,0.6893175956711944,0.8544096128129626,-0.13182518585427033,0.061821012752403696,0.31441518140165636,0.3290232762537896,0.1460668975881842,0.2501339290722416,-0.6894673266589265,0.5266471267151016,0.1959201970366886,-0.41868325272580026,0.9159046079200952,0.6395683973529291,-0.6966807417285641,0.4326075752502754,0.06446207314950768,0.7124988131303424,0.19471732098994426,0.11518076431728662,-0.48038486186081053,0.18204136087655978,-0.3097818202583398
Individuals using the Internet (% of population),0.8281188553957127,-0.8746308594920503,0.37836051939840787,-0.09533234979826828,0.6893175956711944,1.0,0.5089826334138848,0.0037197353807388515,0.09566005826433295,0.24358071996558678,0.25124013394249245,0.20392044843267296,0.29078878067054803,-0.8516736148317422,0.7692711593092518,0.10755396517540883,-0.7083030707271251,0.6040214381055676,0.7513837648347714,-0.8660366425124426,0.3456055098691102,0.14802723259584213,0.8344360458528933,0.10939593922945273,0.03889561239173771,-0.20333452638801108,0.13006443102323606,-0.2821328443936607
"Industry (including construction), value added per worker (constant 2015 US$)",0.3019462257661542,-0.40771717494171456,0.14752109209173955,0.12315003705110752,0.8544096128129626,0.5089826334138848,1.0,-0.06937920407839328,0.005653059583156008,0.21064874764731106,0.21977377890438715,0.04816456163368162,0.17218965188484792,-0.4302173771878918,0.30634447857342656,0.1915901242278242,-0.24337906907616397,0.8596240242044026,0.48430018819268045,-0.5032461470772303,0.3732391394111708,-0.039889464041952157,0.5213359357327005,0.15562633506775764,0.13140718311143107,-0.5179205537683155,0.19722735697117352,-0.21813434427876435
"Inflation, GDP deflator (annual %)",0.03460660537017566,0.009136514186149702,0.17400298872436637,-0.13529622967538216,-0.13182518585427033,0.0037197353807388515,-0.06937920407839328,1.0,0.009919766556138169,-0.06079783584373748,-0.06219296038389472,-0.09123722405177592,-0.14876484130830295,0.020362878502890557,0.007379200421936302,-0.007937483211929348,-0.016414846467189718,-0.1058305024627908,0.11854912136003365,-0.01015375985326134,-0.045341205693199084,0.027864898200026002,-0.04763809172618062,-0.09910185964712198,-0.07900478044857652,0.07014914264905536,0.010773645995885933,0.1200894594912875
Land area (sq. km),0.058743978761616265,-0.06676424309624382,0.09728504101551812,0.05140995233111827,0.061821012752403696,0.09566005826433295,0.005653059583156008,0.009919766556138169,1.0,0.49049534134987105,0.47911161443642164,0.09118967944509414,0.14843288259406082,-0.07163968188562904,0.049259247202934835,-0.046214303175546714,-0.11021040472173949,0.008544673960192947,0.11912827035315657,-0.08247715347549664,-0.04317233496213552,-0.048298434355000155,0.027753391821074166,0.057093834303647166,0.09954892971423325,0.006146269507286103,-0.23384768830590555,-0.11480133193320706
Merchandise exports by the reporting economy (current US$),0.20704888374571573,-0.30230428605980514,0.11415346659102468,0.10550400052039713,0.31441518140165636,0.24358071996558678,0.21064874764731106,-0.06079783584373748,0.49049534134987105,1.0,0.9461758379319132,0.015459983978511017,0.12431465382672391,-0.32929915086735323,0.187481409379025,0.09083751621355805,-0.23508444282782195,0.30128174118739953,0.24982008027577582,-0.24817498861639262,0.1354638019195433,0.05103739196147622,0.283742123349548,0.1357957566179934,0.04111672451601185,-0.26787679200094505,-0.010886305156936317,-0.2225314632491696
Merchandise imports by the reporting economy (current US$),0.21249219735732905,-0.3022786468069971,0.1403493572529111,0.08748718614059202,0.3290232762537896,0.25124013394249245,0.21977377890438715,-0.06219296038389472,0.47911161443642164,0.9461758379319132,1.0,0.037326358925927894,0.2322536671776667,-0.3298550958061593,0.17434796695757313,0.09767794128043635,-0.23766176895613098,0.3432848900726375,0.2522233134365938,-0.2590858519651632,0.14493889975193863,-0.018727868829316572,0.2713797138174575,0.12912430970324001,0.028982783101109053,-0.21386566646521724,-0.07289488416904708,-0.16246119255484948
Military expenditure (% of GDP),0.13958173341107177,-0.11297008385324893,0.005348708596300177,-0.01712259114578414,0.1460668975881842,0.20392044843267296,0.04816456163368162,-0.09123722405177592,0.09118967944509414,0.015459983978511017,0.037326358925927894,1.0,0.02881239184535645,-0.0888380363445021,0.2768988398562708,-0.272932326936885,-0.29686775223934775,-0.0017752186260460434,0.21397504502263123,-0.21313990354823292,0.03383752330512947,-0.07506009461475,0.04461895832738229,-0.17805232479668262,-0.1694278512521632,0.13379186944210023,-0.1921972252895159,0.05754056492104001
Net migration,0.0543810037915437,-0.18429619894481492,0.11857956535145142,0.008952498504840568,0.2501339290722416,0.29078878067054803,0.17218965188484792,-0.14876484130830295,0.14843288259406082,0.12431465382672391,0.2322536671776667,0.02881239184535645,1.0,-0.19826085628917314,0.13827421504453907,0.1466960444953789,-0.1250184234820198,0.2267373586541829,0.27372890418824997,-0.29062299499238425,0.1671382630233105,0.11663490054793983,0.19941262429607984,0.058947445195666,0.06551965979992692,-0.12404321027519023,0.021688003544170508,-0.18441740313298244
Population ages 0-14 (% of total population),-0.779876172986127,0.9877057851255235,-0.3098463561506965,-0.0186501855564185,-0.6894673266589265,-0.8516736148317422,-0.4302173771878918,0.020362878502890557,-0.07163968188562904,-0.32929915086735323,-0.3298550958061593,-0.0888380363445021,-0.19826085628917314,1.0,-0.7897975630113045,-0.19951703519230204,0.595890659751435,-0.6007118610086924,-0.608954588474382,0.7916221383014168,-0.37083632921358806,-0.1257018980471171,-0.8787756133656572,-0.13273938885963374,-0.07269299746647463,0.1933590156247866,-0.19273236154172557,0.28191329741289284
Population ages 15-64 (% of total population),0.7439907468817885,-0.8553332291080178,0.22164480191207686,0.05170316759674965,0.5266471267151016,0.7692711593092518,0.30634447857342656,0.007379200421936302,0.049259247202934835,0.187481409379025,0.17434796695757313,0.2768988398562708,0.13827421504453907,-0.7897975630113045,1.0,0.0026799701644248794,-0.654430590591558,0.3564339318974391,0.5228331394654532,-0.6480067274461798,0.16168331615536474,0.16492989637709343,0.6414135661903282,0.15721083029658228,0.11154824101178006,-0.04186390158244835,0.19802007276479885,-0.17830626824219906
Proportion of seats held by women in national parliaments (%),0.08786511893695267,-0.16670271398086742,0.1666518847289315,0.10291520235398519,0.1959201970366886,0.10755396517540883,0.1915901242278242,-0.007937483211929348,-0.046214303175546714,0.09083751621355805,0.09767794128043635,-0.272932326936885,0.1466960444953789,-0.19951703519230204,0.0026799701644248794,1.0,0.03580528895605499,0.2717070396570533,0.09497999380372353,-0.15406135789452494,0.29512613327699133,0.027869059751045405,0.2632008262627867,0.17427958606988406,0.06744937953197529,-0.21914339587396311,0.19973305385292206,-0.17786694121890306
Renewable energy consumption (% of total final energy consumption),-0.6910244478950447,0.6386369438401535,-0.27372670915249675,0.23731204516507332,-0.41868325272580026,-0.7083030707271251,-0.24337906907616397,-0.016414846467189718,-0.11021040472173949,-0.23508444282782195,-0.23766176895613098,-0.29686775223934775,-0.1250184234820198,0.595890659751435,-0.654430590591558,0.03580528895605499,1.0,-0.3129658018476038,-0.49811034388052056,0.6697182998764721,-0.1547685818854146,-0.16122450198970564,-0.559591850812663,0.06990436544883052,0.12582148149112155,0.005756000563474133,0.03823422183128307,0.10746398947404086
"Services, value added per worker (constant 2015 US$)",0.40101783631578153,-0.5560214164878904,0.2631254577261757,0.1088298486498719,0.9159046079200952,0.6040214381055676,0.8596240242044026,-0.1058305024627908,0.008544673960192947,0.30128174118739953,0.3432848900726375,-0.0017752186260460434,0.2267373586541829,-0.6007118610086924,0.3564339318974391,0.2717070396570533,-0.3129658018476038,1.0,0.5945935708870977,-0.624488885652709,0.44107688432414466,0.0396799988252104,0.7028805234943046,0.13886006671801507,0.13214631664800278,-0.5282226503828223,0.2086242469577197,-0.2423516444685808
Urban population (% of total population),0.5661239998502281,-0.6086989360946775,0.43953578479157024,-0.03621830127589109,0.6395683973529291,0.7513837648347714,0.48430018819268045,0.11854912136003365,0.11912827035315657,0.24982008027577582,0.2522233134365938,0.21397504502263123,0.27372890418824997,-0.608954588474382,0.5228331394654532,0.09497999380372353,-0.49811034388052056,0.5945935708870977,1.0,-0.6906865607218592,0.3186267567228073,0.18747303265201348,0.6549066919766822,0.03827800972212478,-0.07273379497697087,-0.30257248899833744,0.13078623135096473,-0.10289442558371024
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.73066808860082,0.7933662314220263,-0.3140759715907337,0.2163666453857218,-0.6966807417285641,-0.8660366425124426,-0.5032461470772303,-0.01015375985326134,-0.08247715347549664,-0.24817498861639262,-0.2590858519651632,-0.21313990354823292,-0.29062299499238425,0.7916221383014168,-0.6480067274461798,-0.15406135789452494,0.6697182998764721,-0.624488885652709,-0.6906865607218592,1.0,-0.4066770283322551,-0.23066998601717612,-0.7934051779536593,-0.08023477923196919,0.052783511531700134,0.23216912936608683,-0.09917513170527664,0.29181953567067725
happiness_score,0.24927398612398452,-0.34847950344623774,0.19921318950246494,0.07674729918330007,0.4326075752502754,0.3456055098691102,0.3732391394111708,-0.045341205693199084,-0.04317233496213552,0.1354638019195433,0.14493889975193863,0.03383752330512947,0.1671382630233105,-0.37083632921358806,0.16168331615536474,0.29512613327699133,-0.1547685818854146,0.44107688432414466,0.3186267567228073,-0.4066770283322551,1.0,-0.0049141190125248525,0.3782597872533589,0.07180722864722931,0.09266711504217447,-0.20152843245849858,0.10466175922571433,-0.2681116145391505
social_support,0.1086416362463076,-0.1337454644628754,0.2963516458395984,0.02593477659581778,0.06446207314950768,0.14802723259584213,-0.039889464041952157,0.027864898200026002,-0.048298434355000155,0.05103739196147622,-0.018727868829316572,-0.07506009461475,0.11663490054793983,-0.1257018980471171,0.16492989637709343,0.027869059751045405,-0.16122450198970564,0.0396799988252104,0.18747303265201348,-0.23066998601717612,-0.0049141190125248525,1.0,0.15794652589793867,0.15708916178206198,-0.16411173508217225,0.009070026620110033,0.1558958071745561,-0.1393281027992054
