,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8496463603431605,0.4096388152396157,-0.339831697926028,0.48674207660987046,0.68491653326643,0.3355353321035831,-0.09021229415044578,0.0854237973497497,0.26601639632950436,0.25242188950629607,0.11169543406561609,0.14732798357067792,-0.8133796811775335,0.8089439269105113,0.048264280251476686,-0.7884094037989364,0.44975176701503006,0.6963656101149005,-0.7866586197074464,0.22861386356809163,0.1731310058007305,0.8049482835196753,0.1326275644324049,-0.06427968346786082,-0.13243021962171575,0.11158063120402752,0.08918854690470628
"Age dependency ratio, young (% of working-age population)",-0.8496463603431605,1.0,-0.2959775700984201,0.16161947803310947,-0.5910261194748517,-0.7875041880602671,-0.4085536323973491,0.15066294178534148,-0.10000985552608205,-0.33854923707976164,-0.3185228074324388,-0.04892488711895783,-0.19827071653533182,0.9885028275358964,-0.9386154100361391,-0.11467249504747914,0.7228685233012682,-0.5398570866111073,-0.6541046621222963,0.8004312918761907,-0.24998570351823005,-0.16696892997645493,-0.7597531891884663,-0.14109993755061254,0.0471307497770765,0.11409056828865301,-0.07360250209236112,-0.07332912633308798
"Compulsory education, duration (years)",0.4096388152396157,-0.2959775700984201,1.0,-0.10727189183501269,0.1666577907676355,0.34037498710470326,0.1836326223653466,-0.03636664145372868,0.043509359882069144,0.17372024397036392,0.18734843117548844,-0.02533747777982601,0.15063540725368796,-0.29945730968267487,0.18404001796605737,0.12780587201423374,-0.3175701948217595,0.28025083526863875,0.4273941126132151,-0.31560881467158014,0.14361351796418786,0.07131141523518573,0.30992896204564935,0.08915093415444197,0.047573916140269255,-0.049232374526504856,0.06796434357736048,-0.131360309495754
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.339831697926028,0.16161947803310947,-0.10727189183501269,1.0,0.1253558058479989,-0.06431302932518064,0.04214781789749163,0.06063248230009823,0.09185867988368815,0.06421093086335355,0.03751743874421374,-0.19623304965016883,0.0387539828762617,0.143096735203272,-0.08093956043190442,0.0809379648761957,0.3426079000371315,-0.03470225557200072,-0.164333676148906,0.32972836183568227,0.0646464697670848,0.057692159838018515,-0.15354812048695704,0.12947343743911016,0.2866466995014579,-0.06930620082784972,0.26106420163112964,-0.24183942404074166
"GDP per capita, PPP (current international $)",0.48674207660987046,-0.5910261194748517,0.1666577907676355,0.1253558058479989,1.0,0.7325148561085403,0.7553484751842893,-0.15875342500387515,0.04271828241269973,0.31970039092080854,0.29769134359421545,0.1931748313270962,0.3333632627213171,-0.6059120506110288,0.644979473143764,0.059685570656740294,-0.5024070289605035,0.8638667176925142,0.6664875379791517,-0.6671260129398803,0.19577598381251204,0.16445630279065213,0.49043517852817914,0.3052962895448913,0.18055082267734252,-0.38692782189570707,0.18416253913680028,-0.0029932601564952106
Individuals using the Internet (% of population),0.68491653326643,-0.7875041880602671,0.34037498710470326,-0.06431302932518064,0.7325148561085403,1.0,0.704147421250348,-0.3332892624909729,0.07410101282387825,0.4139745212225704,0.4004769975614448,0.032528458406268786,0.3077982937463087,-0.8225392268291954,0.6681925778269234,0.2713462459983659,-0.564499079996184,0.8049068584823375,0.7114683568143512,-0.7861690389724971,0.32156751533034184,0.1951837489886877,0.7580855022007731,0.2966501530688627,0.12296457061088546,-0.31783937714988797,0.18727437612407147,-0.033152494067980265
"Industry (including construction), value added per worker (constant 2015 US$)",0.3355353321035831,-0.4085536323973491,0.1836326223653466,0.04214781789749163,0.7553484751842893,0.704147421250348,1.0,-0.15133291676287722,0.019501443318642567,0.2817080844078249,0.27133878008337653,0.15406034616883313,0.3834334997783946,-0.4217782765975581,0.36487024593315953,0.19552735854987116,-0.3498843858049241,0.8230726380254333,0.5415981556027386,-0.5229631912978272,0.3075875703697227,0.13800494833442242,0.5205488347121615,0.3513981133399134,0.2722659053731005,-0.38678235626751606,0.21525425989853486,-0.08847477510851492
"Inflation, GDP deflator (annual %)",-0.09021229415044578,0.15066294178534148,-0.03636664145372868,0.06063248230009823,-0.15875342500387515,-0.3332892624909729,-0.15133291676287722,1.0,0.08151121770670336,-0.15672562514706298,-0.17573220375499043,0.1061174791852978,-0.057415281691547304,0.19757590017611706,-0.04039379592182297,-0.11688063820559345,-0.005605635583432745,-0.3141177116959899,-0.08780043036804647,0.2300081389009705,-0.08583732201705212,0.0445873822229007,-0.20457813593161842,-0.008872177137987988,-0.10089541562312276,0.1332816660038262,0.017013725401250797,-0.10752724393330727
Land area (sq. km),0.0854237973497497,-0.10000985552608205,0.043509359882069144,0.09185867988368815,0.04271828241269973,0.07410101282387825,0.019501443318642567,0.08151121770670336,1.0,0.46972512969490726,0.461504235824435,0.1310279458712345,0.32622675994101263,-0.1012093724639054,0.11484897828013675,-0.04072172601542235,-0.11382474684797815,0.0050033705932930155,0.11816889365993985,-0.08873582005073902,-0.033429270589946276,0.11023496444005769,0.02669987936422865,0.09632592886005605,0.0973050804429431,-0.057267683447197834,0.1082051208799046,-0.1700646037570302
Merchandise exports by the reporting economy (current US$),0.26601639632950436,-0.33854923707976164,0.17372024397036392,0.06421093086335355,0.31970039092080854,0.4139745212225704,0.2817080844078249,-0.15672562514706298,0.46972512969490726,1.0,0.9535966083327635,0.0873114579516263,0.44089770526140276,-0.3654544432342993,0.2695989720664836,0.12287396109563305,-0.2976140983884519,0.3591672507640468,0.2986367272647944,-0.29772243120331326,0.20009726724462268,0.12497129837840369,0.3084510282745254,0.14614688765691433,0.1473034249858503,-0.29172600017128997,0.18241258880362426,-0.10540963336564156
