,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8426338726676453,0.43038544117110916,-0.24544612152666623,0.5155833636900808,0.7535129973536889,0.3556771300320209,-0.012012768441405641,0.06805940381463851,0.22688663804737233,0.22789949366343043,0.09915839466405156,0.06351285153116525,-0.8016485646087943,0.7797578490146067,0.056619566194788085,-0.737484873421975,0.4195686677424881,0.6260137129794277,-0.7494614297963869,0.3052802803963726,0.17293491367732441,0.1293218945296907,0.1946414424100675,-0.07284608996031618,-0.07793926642733498,0.15190188287188072,-0.3132396778063554
"Age dependency ratio, young (% of working-age population)",-0.8426338726676453,1.0,-0.2843612686217878,0.06886212859718407,-0.6622378844156996,-0.8604562013292879,-0.4426691099637319,0.051147416096795566,-0.0770349403704309,-0.31069473807485215,-0.3029455806080478,-0.07620785174780301,-0.15372498018872635,0.9879336545950929,-0.9008545493626391,-0.07019243155562489,0.6818844745556708,-0.5486723827894533,-0.6268912696266592,0.8005283953750585,-0.3484548238865875,-0.22997201005809345,-0.16211089024094902,-0.14611466530576406,-0.014411983409413662,0.13980919752256218,-0.11009242834002948,0.2511930778672998
"Compulsory education, duration (years)",0.43038544117110916,-0.2843612686217878,1.0,-0.01146294372844365,0.21006423030130014,0.33672733889608225,0.16141789714557594,0.11409326533518122,0.11679856389584474,0.12806081157646487,0.14818388252708273,-0.017125307399406476,0.04900589661335481,-0.2739479775853286,0.203662343524066,0.1218348647269696,-0.2908324334079117,0.218822313145288,0.4224798020468842,-0.29412809221931335,0.21908221623516932,0.004084017415779136,-0.15614580602223999,0.12146414604487368,-0.13231339276847667,0.0037437002529023397,0.10093687837762572,-0.008201125047414404
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.24544612152666623,0.06886212859718407,-0.01146294372844365,1.0,0.1462040739443229,0.027169399184887897,0.10350163804789554,-0.009131716266408688,0.06162348329567585,0.08237091954229894,0.0657160505476372,-0.08146202839787176,0.1271044468875088,0.04863242223004731,0.029539243949648644,0.030415399769275667,0.280898531545402,0.0672009867932112,-0.08113971431577825,0.23911000188293194,-0.03253979765625879,0.0226385647781378,-0.060505843573227934,0.032487979341036005,0.2712621646362374,-0.05100674812797898,0.11385383052320622,0.05589194306503943
"GDP per capita, PPP (current international $)",0.5155833636900808,-0.6622378844156996,0.21006423030130014,0.1462040739443229,1.0,0.8139053390858741,0.8584362782286541,-0.31974292025062845,0.05277478667521328,0.3484515971944314,0.3719774671242273,0.08915474492739758,0.2581211089923454,-0.6977152144838012,0.5958442464927024,0.13181251177270667,-0.48591923259972064,0.9287670113621347,0.6785588726740563,-0.7119723805714437,0.3546871913513471,0.1462087500899499,0.11962302251692288,0.27723938497338074,0.1428054830011975,-0.377457221191505,0.22303619746270056,-0.22529491371741953
Individuals using the Internet (% of population),0.7535129973536889,-0.8604562013292879,0.33672733889608225,0.027169399184887897,0.8139053390858741,1.0,0.6456761682868836,-0.044020735126353815,0.08444127314192626,0.3174171263478371,0.3298467107286313,0.11129727430046098,0.25833190981736254,-0.8758639891075329,0.7424246686295872,0.11516935868666701,-0.6358841628142565,0.7248339955250056,0.7799807740626119,-0.8424241561729422,0.3640862360942175,0.16417261452892398,0.14258499320248028,0.30589441826633623,-0.03161602414289045,-0.19920224333968697,0.1994968203824276,-0.24607657324712207
"Industry (including construction), value added per worker (constant 2015 US$)",0.3556771300320209,-0.4426691099637319,0.16141789714557594,0.10350163804789554,0.8584362782286541,0.6456761682868836,1.0,-0.27262728717422213,0.019984478833471944,0.2468467560751619,0.2815537763534632,0.03227403015556835,0.19394891109224044,-0.46861324360524037,0.3507734370212481,0.1988310463557802,-0.2795604161486351,0.8857432099510223,0.5449853221553788,-0.5375898206745985,0.3370967686486586,0.03619953206071605,0.05027070298439656,0.3340994934517684,0.1869229358015093,-0.4382269551296883,0.2511085261122322,-0.19043372134420017
"Inflation, GDP deflator (annual %)",-0.012012768441405641,0.051147416096795566,0.11409326533518122,-0.009131716266408688,-0.31974292025062845,-0.044020735126353815,-0.27262728717422213,1.0,0.015034872476666888,-0.05369370289201285,-0.05635092190459867,-0.12494772004168013,-0.10859150042391798,0.06580482066242631,-0.04499793374459079,-0.0391234072988341,-0.013308981411222524,-0.28703252210790187,0.060186282124339095,0.04565657307470459,-0.051646873889400674,0.05610656159775257,0.06483410005442267,-0.07623000165503412,-0.041568727610477404,-0.16895994271658818,0.019938323420409913,0.09836367985608734
Land area (sq. km),0.06805940381463851,-0.0770349403704309,0.11679856389584474,0.06162348329567585,0.05277478667521328,0.08444127314192626,0.019984478833471944,0.015034872476666888,1.0,0.466243046820255,0.4600053986666828,0.16650812507791016,0.28383710397049183,-0.0785155448280645,0.0771197882343272,-0.030880198398756335,-0.11163780644974335,0.006607208342170151,0.11713655986883269,-0.08850321791079532,0.05654891867897273,0.10761524165161683,0.10290338293142669,0.04906327634113849,-0.009399180299943166,0.01256369727360191,0.08843173431823398,-0.04642052003492387
Merchandise exports by the reporting economy (current US$),0.22688663804737233,-0.31069473807485215,0.12806081157646487,0.08237091954229894,0.3484515971944314,0.3174171263478371,0.2468467560751619,-0.05369370289201285,0.466243046820255,1.0,0.9403660627813171,0.007428354749097606,0.34016601524764795,-0.3385921145745839,0.2205634054050447,0.09175432574571067,-0.2556695186889703,0.32050279954559585,0.2586811696536997,-0.2650106137406528,0.2619391076520127,0.08430318913361749,0.10118116836056182,0.09699805071104027,0.07705647887555961,-0.13289671994945362,0.09114805609552579,-0.195559860874235
