,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8569603989819815,0.3990364876913215,-0.32326182015691063,0.5070952532250558,0.662915250178587,0.3280231907524834,-0.24097727385529227,0.08711173290050256,0.2722999890999783,0.26083071551186365,0.08684444060774507,0.16747172208289612,-0.8201631717453554,0.8191627161324895,0.05019692546639164,-0.8022116711533758,0.4519071325957943,0.7007681341280757,-0.7874299242479239,0.4575695275034178,0.21137089446894136,0.059601801524839175,0.25720484490171597,-0.14408064796306874,0.007508047787052739,-0.020842450003276836,0.2443302026086146
"Age dependency ratio, young (% of working-age population)",-0.8569603989819815,1.0,-0.3079914937851896,0.1554366501368385,-0.6031881230670424,-0.7657756187043477,-0.3914866274447452,0.2363233734512504,-0.10249191903024629,-0.344063527972735,-0.32674679118994104,-0.029256319312540593,-0.19682060770254733,0.9886084945108444,-0.9425048249956073,-0.13158065382928263,0.7251977698328826,-0.5433572450681617,-0.6576880120936371,0.8026435447644521,-0.4526075023615926,-0.21323343750476442,0.11769261093468471,-0.25414888709568506,0.07951041603112968,0.0620380005752708,0.009268649055800193,-0.14743907143769305
"Compulsory education, duration (years)",0.3990364876913215,-0.3079914937851896,1.0,-0.10155468767743815,0.19704299608115633,0.3288908220410618,0.20913330381269662,-0.053655128273489096,0.059155358533646056,0.21917544145630732,0.22717932976159394,-0.048753948704927164,0.20018963082846336,-0.31463776631435353,0.1943828955313637,0.04765703277168878,-0.3167901341667379,0.31352671263535853,0.42768128032816144,-0.3370202365681574,0.3316075368774361,0.06789727323874795,0.02777164567429872,0.12376728217802625,0.09849581216189408,-0.048506910755674655,0.25502820990240116,-0.04608931324596209
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.32326182015691063,0.1554366501368385,-0.10155468767743815,1.0,0.11718663515742482,-0.02878851047762819,0.023451726158683378,0.09048866497695539,0.08895046558081678,0.05354493326906852,0.03262242033126009,-0.24118172450421724,0.013032000418849622,0.13509214041316242,-0.08378309479910094,0.11683820053279691,0.3546370305905068,-0.027609442384908586,-0.1669344170346353,0.3263322689242026,0.10704376331736927,0.14055854472947202,-0.1922629694352913,0.13154528288567602,0.2443742593466704,-0.09791934440902283,0.13645235899871305,-0.23665419685077138
"GDP per capita, PPP (current international $)",0.5070952532250558,-0.6031881230670424,0.19704299608115633,0.11718663515742482,1.0,0.7351827831655492,0.7410958260611389,-0.3433145832229718,0.04624813219649261,0.3287559863243737,0.32294477506737085,0.18772249815470787,0.36321347135758864,-0.6163678104013026,0.653053538089381,0.07592955553686026,-0.5095913941255606,0.8802101215004935,0.6805857565387038,-0.6820015759929032,0.4274635535098317,0.29717339384358143,-0.06221665958600208,0.32715841105499793,0.19665379227336519,-0.36686151120444815,0.10462025340601622,0.15507810369971303
Individuals using the Internet (% of population),0.662915250178587,-0.7657756187043477,0.3288908220410618,-0.02878851047762819,0.7351827831655492,1.0,0.6967671043078206,-0.19881859885826667,0.07297879738964833,0.4375677455951433,0.43055169072523697,0.017258044725868994,0.3197442920773404,-0.8041708627564838,0.6482840440049044,0.28251301868171946,-0.5370447783701837,0.8125399822940539,0.6984109926929086,-0.7687756530165842,0.4504095464399488,0.33989287485153846,0.0027639956831568865,0.23005420462741075,0.1185309509756898,-0.2578856199094039,0.07198464007865771,0.13141844901015576
"Industry (including construction), value added per worker (constant 2015 US$)",0.3280231907524834,-0.3914866274447452,0.20913330381269662,0.023451726158683378,0.7410958260611389,0.6967671043078206,1.0,-0.3204749081878013,0.027943141246063088,0.2912487094833315,0.2913748953627525,0.15924203435047465,0.3524638993756702,-0.40417897799818486,0.3422666986935344,0.21259223518945045,-0.3375870340923158,0.8085896485085109,0.5132580037738415,-0.5004921527376122,0.4467038779750267,0.2855843450027677,-0.04647552690098592,0.293472971833747,0.18216933930362425,-0.3893624624845892,0.13673885563966773,0.1268790405958272
"Inflation, GDP deflator (annual %)",-0.24097727385529227,0.2363233734512504,-0.053655128273489096,0.09048866497695539,-0.3433145832229718,-0.19881859885826667,-0.3204749081878013,1.0,-0.007132488144790326,-0.07859915334997455,-0.0595729184735373,-0.28490931247653123,-0.1963743846801972,0.21578135039953328,-0.28969225809103,0.11339337308951873,0.3396582545466244,-0.14934721698410272,-0.2924253689892363,0.24813467595545893,-0.14139895991567783,-0.024797995385115724,-0.01689225100663937,-0.2649804643954036,-0.0352506690382063,-0.02185951559463106,-0.17415274015047236,-0.05812396946532131
Land area (sq. km),0.08711173290050256,-0.10249191903024629,0.059155358533646056,0.08895046558081678,0.04624813219649261,0.07297879738964833,0.027943141246063088,-0.007132488144790326,1.0,0.43973419298976796,0.4331725777259974,0.13249065493488646,0.323528929243998,-0.10344268148174071,0.11670266209585872,-0.03557768126127593,-0.10740171518302417,0.009140504770947482,0.11849947484981672,-0.08695080826841214,0.10758728786427559,0.13688792243895137,-0.038048038432207075,0.08979589696330795,-0.07435946789720844,0.07260465013196209,-0.1465249431245801,-0.024843139132922108
Merchandise exports by the reporting economy (current US$),0.2722999890999783,-0.344063527972735,0.21917544145630732,0.05354493326906852,0.3287559863243737,0.4375677455951433,0.2912487094833315,-0.07859915334997455,0.43973419298976796,1.0,0.9535786385520475,0.06288531990522997,0.40446994261305336,-0.37219234467889106,0.2686097043863043,0.1370840119043429,-0.29327280465163913,0.3844176169645349,0.3016087932428177,-0.30406388489381425,0.22928347948154482,0.15512507174306497,-0.041041248712369645,0.12151707362468511,0.11620482770219348,-0.30523931766642,-0.05460189886260767,-0.006676359904664567
Merchandise imports by the reporting economy (current US$),0.26083071551186365,-0.32674679118994104,0.22717932976159394,0.03262242033126009,0.32294477506737085,0.43055169072523697,0.2913748953627525,-0.0595729184735373,0.4331725777259974,0.9535786385520475,1.0,0.08485486065203951,0.5207010974454951,-0.35419643319965616,0.24486020725538651,0.12204068182784429,-0.2841371143909391,0.42246291576264033,0.29251533008891073,-0.29880987495100503,0.23987989952241848,0.14863704926457352,-0.038737005216229074,0.1289969323708203,0.15848981553015168,-0.2299670967501847,0.013519018780278731,0.02221219106257271
Military expenditure (% of GDP),0.08684444060774507,-0.029256319312540593,-0.048753948704927164,-0.24118172450421724,0.18772249815470787,0.017258044725868994,0.15924203435047465,-0.28490931247653123,0.13249065493488646,0.06288531990522997,0.08485486065203951,1.0,0.29251449076257874,-0.002963579985228862,0.12236361515476166,-0.28280189243299386,-0.30045686577513875,-0.04919281850824668,0.1611078277970634,-0.16539379323028539,-0.0276418120337454,0.03560335107107951,0.07890093842239775,-0.08905454836058395,-0.15823281242206869,0.02076995289944646,-0.17455409298504834,0.3052697876518056
Net migration,0.16747172208289612,-0.19682060770254733,0.20018963082846336,0.013032000418849622,0.36321347135758864,0.3197442920773404,0.3524638993756702,-0.1963743846801972,0.323528929243998,0.40446994261305336,0.5207010974454951,0.29251449076257874,1.0,-0.21475674978052595,0.17922207952549574,-0.012742417052453768,-0.2404116145794589,0.3009617900224168,0.2931352215025126,-0.30627680469762664,0.18425221269641628,0.13372986860681654,-0.011027127589526215,0.1324613367718335,0.12848739472890186,-0.08341543330463351,0.05126778046235307,0.08414918490139686
Population ages 0-14 (% of total population),-0.8201631717453554,0.9886084945108444,-0.31463776631435353,0.13509214041316242,-0.6163678104013026,-0.8041708627564838,-0.40417897799818486,0.21578135039953328,-0.10344268148174071,-0.37219234467889106,-0.35419643319965616,-0.002963579985228862,-0.21475674978052595,1.0,-0.9075848087701951,-0.16344227599814878,0.6933317744517052,-0.5771720460681583,-0.6488142785089401,0.7932248128571089,-0.43550974170000384,-0.20641751888267482,0.1190856438577895,-0.2036829316991633,0.07707471033302885,0.08714240177897091,0.004723368086675735,-0.13562422597709833
Population ages 15-64 (% of total population),0.8191627161324895,-0.9425048249956073,0.1943828955313637,-0.08378309479910094,0.653053538089381,0.6482840440049044,0.3422666986935344,-0.28969225809103,0.11670266209585872,0.2686097043863043,0.24486020725538651,0.12236361515476166,0.17922207952549574,-0.9075848087701951,1.0,0.013184365174687636,-0.7407747708814524,0.4401494881458209,0.624441487233163,-0.7531433886198935,0.4364503591566932,0.2206274319366768,-0.1133549398144189,0.3103348099406722,-0.03242669571909025,-0.07420242996504689,-0.0424641716650269,0.14451643758685298
