,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8470417386023303,0.4359021363934726,-0.2963611989561527,0.49249363706953475,0.7382922252665338,0.35259195089083095,0.007993847598340443,0.07296538549335475,0.24492356304587756,0.23954719135984323,0.03293756100206083,0.11719909678776574,-0.8087843950761293,0.7926660817428682,0.05111508483961296,-0.7529425475720012,0.43965519190355645,0.6519946922523773,-0.763849384664388,0.4355321017627474,0.16130339529388338,0.8166559625154953,0.22096235446830978,0.05842118080146803,-0.12522756048409203,-0.09433097536163557,-0.15632157748620404
"Age dependency ratio, young (% of working-age population)",-0.8470417386023303,1.0,-0.297914431667033,0.11418882194757266,-0.6168419386178078,-0.8378985189883518,-0.44549956715964173,0.08402291221624256,-0.08243291076882012,-0.32120182547571824,-0.30955950891259143,-0.03680155353463245,-0.18493468122489448,0.9881792964572643,-0.9152448153783674,-0.07429188834810656,0.6943687165457668,-0.5533080288443102,-0.6325670316375804,0.7990889015722988,-0.4307645998581402,-0.17813676538293666,-0.8698113329583237,-0.13992372378438583,-0.12974510541704581,0.15733357093286332,0.10696032617638085,0.14842001188786344
"Compulsory education, duration (years)",0.4359021363934726,-0.297914431667033,1.0,-0.0358764763834057,0.18805955018768974,0.3355439235760703,0.1639583659354746,0.1497328279281139,0.12130439655230565,0.14522349254249556,0.15827015452934232,-0.04883188922163299,0.08009386677732408,-0.28809694872182673,0.2220200867495519,0.1370706657534979,-0.3028657889094306,0.22844608694764088,0.44122103168882576,-0.3163054574791167,0.2379574871973793,0.2230413393499929,0.3811428988185506,0.17678174885693,-0.08532036944663593,-0.0852102176310176,0.039698915629768204,-0.11693999445022453
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.2963611989561527,0.11418882194757266,-0.0358764763834057,1.0,0.16645951031190637,-0.020107090962497715,0.08685849372151432,-0.0401554218856427,0.07933547437699906,0.0832492015588662,0.05735388383218613,-0.117626681087097,0.06107389933806717,0.09661092163805704,-0.015991874286544097,0.019098415183062985,0.30242220493716987,0.037413092908002,-0.11328541434982897,0.27460547336406893,-0.133420385410546,-0.03229618707183762,-0.13310365482651915,0.004068294765691919,0.1683489952282162,0.0599314674548273,0.22648273245928502,-0.11031165277757396
"GDP per capita, PPP (current international $)",0.49249363706953475,-0.6168419386178078,0.18805955018768974,0.16645951031190637,1.0,0.7778264261013681,0.8206473964114787,-0.2184228874662497,0.05514312751570964,0.32895852418910393,0.31629142156719103,0.14518671117221815,0.2988582001891407,-0.6405426319687713,0.6295397928132006,0.05836789898095776,-0.4957961485331681,0.8579999664102723,0.668847892531031,-0.6826173733722986,0.3100509823913328,0.25952545562705287,0.6711615384421546,0.28444446876153096,0.1798101188522767,-0.30075189556046505,-0.07741809081696886,-0.18927066215494773
Individuals using the Internet (% of population),0.7382922252665338,-0.8378985189883518,0.3355439235760703,-0.020107090962497715,0.7778264261013681,1.0,0.6747610889976074,-0.06088105364932653,0.08526461753400526,0.3406678055630243,0.33381493475853213,0.010341739174572073,0.28118728343443594,-0.8621910257110735,0.7213476529974082,0.15175008669265574,-0.6234926725162837,0.7549516245768563,0.7559540987304192,-0.8339028675211149,0.4396715233851629,0.24974918684224032,0.8395770944300295,0.19395096992641617,0.017265496066031016,-0.17307117834082836,-0.1304952706755825,-0.16505027950058657
"Industry (including construction), value added per worker (constant 2015 US$)",0.35259195089083095,-0.44549956715964173,0.1639583659354746,0.08685849372151432,0.8206473964114787,0.6747610889976074,1.0,-0.26846866646041234,0.023448351460573443,0.26858195860467615,0.2770275484967522,0.10484942883733724,0.2140899197321999,-0.4698718620869255,0.3673069304293564,0.19476750873183868,-0.32393473745535944,0.9027932709788499,0.5636318146876317,-0.5493682470104299,0.3179848105000105,0.24110939683707566,0.5270975446119092,0.29562399731471695,0.17407014280752112,-0.3266864105422455,-0.0537053535853747,-0.16347188307598343
"Inflation, GDP deflator (annual %)",0.007993847598340443,0.08402291221624256,0.1497328279281139,-0.0401554218856427,-0.2184228874662497,-0.06088105364932653,-0.26846866646041234,1.0,0.04892839319525289,-0.07607213303403364,-0.07450162933771605,-0.18755571667877877,-0.12315074535480902,0.10168827608170233,-0.07720425806519385,-0.03882988411182935,0.024740472736180418,-0.20757135238218258,0.03860097775159216,0.029972205651761216,0.014114147905155415,0.01186274381714881,-0.05329683663388522,-0.21114728526686313,-0.11749046392948191,0.09299505780175213,0.061234277604777204,-0.05842808616943464
Land area (sq. km),0.07296538549335475,-0.08243291076882012,0.12130439655230565,0.07933547437699906,0.05514312751570964,0.08526461753400526,0.023448351460573443,0.04892839319525289,1.0,0.502290226679583,0.4826917039905321,0.11702051440869422,0.18357769231210622,-0.0838976105617276,0.08929640546816357,-0.02674634227493935,-0.11926104154195466,0.008680460859347334,0.11542147794805342,-0.09150084337544964,0.1261094290524259,0.03903216092061309,0.03099343351536378,0.08662051785706394,-0.05120936929353888,-0.05915722321835757,-0.10375006237429966,-0.042653169570324806
Merchandise exports by the reporting economy (current US$),0.24492356304587756,-0.32120182547571824,0.14522349254249556,0.0832492015588662,0.32895852418910393,0.3406678055630243,0.26858195860467615,-0.07607213303403364,0.502290226679583,1.0,0.9544028099550184,0.03332984341615995,0.28634737628304385,-0.3469856196149625,0.2500577232258244,0.10316847208925041,-0.2765417712355466,0.3326769546395144,0.27540164547340423,-0.28117815634424587,0.2062596279283923,-0.0876700112532683,0.32047680302695236,0.12276641578012382,0.01309511975580161,-0.17634306012900935,-0.0982396706329556,-0.09512782578026319
