,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8559365032650565,0.41341246360113143,-0.32816206281217186,0.47432817117812126,0.7128233067783873,0.3412337815875477,-0.1264394700165098,0.08385168032714994,0.26854877687753026,0.2546871750991536,0.09085357174801273,0.11986760952788353,-0.8191669889236927,0.8114758439582384,0.009202902161002845,-0.7826142703770265,0.4523823497429822,0.688062096559359,-0.785693557360167,0.3184828459318377,0.2576392965715692,0.8332267384624438,0.19016773451288174,-0.03502072041809417,-0.031006514138464714,0.17445867194607106,0.09768144409349648
"Age dependency ratio, young (% of working-age population)",-0.8559365032650565,1.0,-0.28958119410393324,0.16118266290907723,-0.580338113411326,-0.802291863584892,-0.42001322743056607,0.15902448967868207,-0.0969052261000858,-0.33785401297341733,-0.32033900138899774,-0.05272607399509562,-0.172563133749249,0.9884574302222792,-0.9339295417741049,-0.09184058933800807,0.7283033016521486,-0.5477892602611212,-0.6507617112300066,0.7986418785705023,-0.320397084615447,-0.2470347965233375,-0.8028284990269849,-0.21826517002435145,0.003969020713757268,-0.033363725576401215,-0.12588332021096596,-0.005210055198677041
"Compulsory education, duration (years)",0.41341246360113143,-0.28958119410393324,1.0,-0.09131617189498357,0.1453867696575681,0.3266491298262154,0.16833069770598785,-0.11637218040863229,0.03093213875897915,0.1535033774813092,0.16605984796267992,-0.04556578987422883,0.0862720428455871,-0.2903574997980337,0.17616438216917177,0.09876736312716017,-0.2944495598880577,0.25410558021537527,0.41817823932014725,-0.31269000982935047,0.12776996480705438,0.20385167734642495,0.38726498735271064,0.10347668727100746,0.034766683535988906,0.10222352356826,0.1792021191223766,0.026167159580619225
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.32816206281217186,0.16118266290907723,-0.09131617189498357,1.0,0.14262557043603688,-0.039574226661839636,0.06632901629912176,0.03851338273183247,0.09148126596293465,0.072511890784173,0.04321799350309561,-0.16139029643872665,0.08107232166065098,0.1419656877478409,-0.07666526287580343,0.08183768998748048,0.3455174422022303,0.002067435861485184,-0.15547684696216668,0.3260522090224524,0.09222155881079827,0.11433768036474297,-0.15453492852642176,0.20455646195509308,0.2561631329178443,-0.07774075603233761,0.12458790768251703,-0.016889239759816755
"GDP per capita, PPP (current international $)",0.47432817117812126,-0.580338113411326,0.1453867696575681,0.14262557043603688,1.0,0.7261514930134365,0.7621024046173963,-0.09874639677867135,0.04148174644805481,0.31954375942723,0.28334280621573316,0.22469324039569377,0.32991378432568,-0.5970155325052701,0.6348017326715758,0.045651634899323015,-0.481367419753413,0.8028714434429736,0.6481741294173345,-0.6501075892978553,0.34421931665673616,0.23570058439744115,0.5046553557093879,0.2364669826016311,0.1492952207512023,-0.30447831934797254,0.18833518373637645,-0.028305971335209682
Individuals using the Internet (% of population),0.7128233067783873,-0.802291863584892,0.3266491298262154,-0.039574226661839636,0.7261514930134365,1.0,0.7170830810540125,-0.28834435698247524,0.08868448959538737,0.39794509049150373,0.3811934186663889,0.08122629456138648,0.2998157555275228,-0.8332024124816594,0.688528714600185,0.244057060939566,-0.5970284133428804,0.7949009213259345,0.7311048172161856,-0.8060407665185201,0.4721977217807391,0.3801366806072526,0.7861899489292694,0.2306681874862174,0.11231291229928846,-0.17961946428074127,0.22745959520178477,-0.02919593554242858
"Industry (including construction), value added per worker (constant 2015 US$)",0.3412337815875477,-0.42001322743056607,0.16833069770598785,0.06632901629912176,0.7621024046173963,0.7170830810540125,1.0,-0.09028493738416687,0.013518003777401378,0.2962856706595064,0.2738151775474886,0.1862303051881795,0.3420261490367132,-0.4372894974287071,0.37262052750836067,0.20584247843009656,-0.3401770000766289,0.8355333226059899,0.5392303755531493,-0.5270070283065473,0.4101878102184898,0.283215772727893,0.4949729104487742,0.27456040383303976,0.28290442477940386,-0.34728729124884206,0.25125689557888103,-0.14982505270404645
"Inflation, GDP deflator (annual %)",-0.1264394700165098,0.15902448967868207,-0.11637218040863229,0.03851338273183247,-0.09874639677867135,-0.28834435698247524,-0.09028493738416687,1.0,0.1302388899140038,-0.15632775211918132,-0.18858453897910848,0.20440299718256374,-0.042167078274552905,0.1931219827440604,-0.03703674725604432,-0.021869157984242937,-0.06460020029091218,-0.28632558851253,-0.08670719613127971,0.15466703391737033,-0.1607515555506211,-0.2405740202622699,-0.2008549601098431,-0.06375631422767182,-0.14975548439836908,0.08155142665695224,-0.05628645730120888,0.05830097226935023
Land area (sq. km),0.08385168032714994,-0.0969052261000858,0.03093213875897915,0.09148126596293465,0.04148174644805481,0.08868448959538737,0.013518003777401378,0.1302388899140038,1.0,0.48431905883081805,0.4656145400217593,0.1333460281851577,0.24903158542657394,-0.09828977804571747,0.11058224385053915,-0.040633606828100244,-0.11490407826483136,0.0006913808982343138,0.1202773631453948,-0.08956914962559342,0.11383261308487405,0.09083772371655109,0.05152036131189364,0.09753637942414933,-0.012844822373185053,0.06434199650947561,-0.007867392433471667,-0.01792685408263896
Merchandise exports by the reporting economy (current US$),0.26854877687753026,-0.33785401297341733,0.1535033774813092,0.072511890784173,0.31954375942723,0.39794509049150373,0.2962856706595064,-0.15632775211918132,0.48431905883081805,1.0,0.9589109169758242,0.10568333339219997,0.3711643348236955,-0.36435714654228735,0.2703335419874273,0.09948625386651283,-0.29678968960517366,0.35224352129418807,0.3009983709217177,-0.2971583419620657,0.22711281099996883,0.1669926542270138,0.32608707198744213,0.15868106021511394,0.07384800947056759,-0.04026327527675114,-0.07102709591583528,-0.05901560917495537
