,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8476628045629548,0.4192233297808195,-0.2223245834948749,0.5048867560652986,0.755620744453225,0.3452515286950464,0.014305617110044076,0.06499984378855553,0.22726160300287335,0.22621731334179446,0.12509436055063783,0.060367724310806975,-0.8027868699952523,0.7824404099605985,0.07543887164265252,-0.7337124833688374,0.41567142748536673,0.6031869656281379,-0.7498302818433605,0.2954002686787931,0.19339384216282965,0.8134200186373578,0.15082639403282977,-0.029424658136156155,-0.06868509275100958,-0.009003511812880114,-0.41439760903727824
"Age dependency ratio, young (% of working-age population)",-0.8476628045629548,1.0,-0.3010623996664001,0.03435567704651168,-0.6631413464890306,-0.8606428663509188,-0.44371054887706757,0.029280116167801604,-0.07447897031479953,-0.31573226333038024,-0.3058194095695438,-0.07145853413811692,-0.15169771582510527,0.9878574786749091,-0.8931988888472617,-0.10223084105273546,0.6805567950032518,-0.5541669376141276,-0.6248932644127172,0.8038594583061867,-0.3097574446045555,-0.19723795606227262,-0.8694579217054659,-0.12535827327428598,-0.05959270349036403,0.09545219327992113,-0.013964184091776303,0.47619736485906367
"Compulsory education, duration (years)",0.4192233297808195,-0.3010623996664001,1.0,0.007536832061340948,0.2134465967983311,0.3208691319148594,0.1563691316394064,0.21227839366134202,0.10345315850734087,0.11887117037067213,0.13441908074147935,-0.020002143297605433,0.04520927552262942,-0.29303328429229675,0.2115558884753023,0.13670000262730528,-0.28097577584409505,0.22641376934821228,0.41385394539481757,-0.28804876613318736,0.2449875760718373,0.0924682180423494,0.37458387763519524,0.049895425711887036,-0.09313470108981557,-0.021795980973399947,0.10832925209985106,-0.16095371201162365
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.2223245834948749,0.03435567704651168,0.007536832061340948,1.0,0.17803254642969493,0.029463568505965213,0.1038857521610159,0.0019905502249232604,0.056154918436258895,0.0878036508145153,0.07317005804887335,-0.12438790742689508,0.06655288590402927,0.011554812142711483,0.05787968247851468,0.031676248737227804,0.26791299937425833,0.08334114886588488,-0.05790719296800448,0.21527457508905667,0.07238028208060282,0.039281095409478016,-0.09349847610172579,0.1267167233474117,0.27238135613582787,-0.056243030195652154,0.1730920292916737,-0.1068029789793537
"GDP per capita, PPP (current international $)",0.5048867560652986,-0.6631413464890306,0.2134465967983311,0.17803254642969493,1.0,0.795565128305417,0.8582214862995595,-0.1257544915174564,0.05097230073741029,0.3484780272301957,0.36225283743634784,0.09857792210177904,0.21723822913523183,-0.698742164697639,0.5930812918160921,0.15886750756147613,-0.4663883652977057,0.924848184494129,0.6726850151864272,-0.7130740293280196,0.4118939056381489,0.13940577038692217,0.7032130609181635,0.15948017478211202,0.2258838321532153,-0.3545061341655163,0.11374599983967892,-0.39126410775385173
Individuals using the Internet (% of population),0.755620744453225,-0.8606428663509188,0.3208691319148594,0.029463568505965213,0.795565128305417,1.0,0.6391485141154614,-0.011702865132735144,0.0808702634025152,0.3037569812493459,0.306355085678783,0.1703982182659768,0.2414834670935063,-0.8682681687069284,0.7497770012213066,0.1444801336643954,-0.6505056709929129,0.7125433457688995,0.7820734619977026,-0.8648622595734651,0.42084195277453396,0.19005524376999416,0.8383040042880486,0.14584334199273252,0.03441343558977491,-0.1656235458946504,0.07005437551656432,-0.4666483316372276
"Industry (including construction), value added per worker (constant 2015 US$)",0.3452515286950464,-0.44371054887706757,0.1563691316394064,0.1038857521610159,0.8582214862995595,0.6391485141154614,1.0,-0.12117943777654401,0.02154603005648427,0.25005984167745116,0.2724788285526676,0.03636867255310795,0.15655179744233694,-0.47029570480977173,0.3434403692541459,0.2172206361414448,-0.2653256550571653,0.8932273659315887,0.5445692492475562,-0.5406080701450696,0.32778025017739226,0.05551135436700711,0.5550243999688399,0.17178783885104942,0.2771299865733812,-0.3871839641884574,0.11782342903787109,-0.28203966392612034
"Inflation, GDP deflator (annual %)",0.014305617110044076,0.029280116167801604,0.21227839366134202,0.0019905502249232604,-0.1257544915174564,-0.011702865132735144,-0.12117943777654401,1.0,0.00494192661741933,-0.03940128100207067,-0.04506167600359509,0.028568407010105226,-0.2505472892072496,0.041294720651931446,-0.011327610254286564,0.004212297679914639,-0.029132625874839845,-0.1527471988345646,0.07808213874033032,0.018228039989738404,-0.005727807381860573,0.051900196872523,-0.02637261457767475,-0.028301388492867723,0.02469144217954056,0.06585056272027039,0.05159228933021875,0.06974417258080517
Land area (sq. km),0.06499984378855553,-0.07447897031479953,0.10345315850734087,0.056154918436258895,0.05097230073741029,0.0808702634025152,0.02154603005648427,0.00494192661741933,1.0,0.47290929178498725,0.4663368244032776,0.14960466317249868,0.28397219701773885,-0.07621388882808522,0.07100386743885907,-0.02839444687390664,-0.10967778266280684,0.007125683701148559,0.11793074421978071,-0.08862984298530176,0.11963673382157866,0.003326910412017203,0.038804393813399896,0.07871343966088454,0.003106665086091667,0.030012568029581375,0.1388770900260437,-0.0015383417434029231
Merchandise exports by the reporting economy (current US$),0.22726160300287335,-0.31573226333038024,0.11887117037067213,0.0878036508145153,0.3484780272301957,0.3037569812493459,0.25005984167745116,-0.03940128100207067,0.47290929178498725,1.0,0.949899788592139,0.012505398950684279,0.35055698600200547,-0.3441304004779075,0.2191092537587644,0.08635139120092551,-0.25794959496426045,0.329365178315198,0.2665532479812788,-0.2713366264451662,0.18401510199762625,0.0814062258308181,0.30998101688139007,0.09698061753309561,0.0665591260823787,-0.10703809139622952,0.15320255759383353,-0.15177487648032004
