,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8554636982907604,0.42666132772172355,-0.30451819711826383,0.46967589650029856,0.724772974256841,0.3656702908050536,-0.23565886916118656,0.07826444828004099,0.2621187159936602,0.25138568387525406,0.06654396121744419,0.11161382786738841,-0.8185944418648269,0.8079247601479882,0.043626247588858996,-0.7580880471448279,0.45372221219619524,0.6772164624173764,-0.7756914547133256,0.17933349280222832,0.33443184375850565,0.809244940080108,0.01575930881377121,-0.0807521321338064,-0.0726188803507589,-0.08239798884816837,0.2294974219362341
"Age dependency ratio, young (% of working-age population)",-0.8554636982907604,1.0,-0.30848942923680023,0.13985172903496462,-0.578970615967398,-0.8163915376297547,-0.43910965565760823,0.21518894993269544,-0.08745314050547386,-0.3328016681571799,-0.3186019946426439,-0.08615525019783624,-0.1773828639139333,0.9884241023670878,-0.9277779766235075,-0.09246261614516499,0.7137084487952304,-0.554292578082196,-0.6455840757885882,0.7993717998193454,-0.21679184756953765,-0.3677171490511656,-0.8262396818761018,-0.03739046470019942,-0.006687386487788076,0.0219988796935383,0.010157510028883345,-0.08881865372719225
"Compulsory education, duration (years)",0.42666132772172355,-0.30848942923680023,1.0,-0.03891677039616233,0.18909697795693245,0.35781250775723566,0.18791219209647783,-0.08892550006276473,0.024958945016756315,0.155320327251992,0.17012115553737492,-0.02133972530155762,0.04214802611436219,-0.30472977829593173,0.22076454962528255,0.12353072157304414,-0.3210975922098465,0.25810105594273897,0.4428038840691347,-0.32381905464361116,0.16194999993110928,0.34662699074804215,0.45236460160588504,0.13290723017767248,-0.02928916638336566,-0.17162147885769174,0.16482806625766636,0.14044284433888327
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.30451819711826383,0.13985172903496462,-0.03891677039616233,1.0,0.15938430388288577,-0.03483073127962556,0.06597330545528923,0.049840059046717705,0.08839569435251007,0.08307307679775934,0.05504501842791093,-0.09408843263721987,0.089026702171276,0.12401251041268284,-0.048340312631715524,0.02169219279595077,0.32413940023765436,0.010638133704268776,-0.12878508587406504,0.30175802500687554,0.08398125090547774,0.06154078501313619,-0.15815724376708634,0.19958449018941082,0.2989840267938386,0.030501300679791263,0.35840066148504085,-0.2809142901931932
"GDP per capita, PPP (current international $)",0.46967589650029856,-0.578970615967398,0.18909697795693245,0.15938430388288577,1.0,0.7175410442437279,0.7869474080671816,-0.19355420236916207,0.04209813872452996,0.31879015671171007,0.28820343056188025,0.21599597299935366,0.28710147834740546,-0.5959957565467349,0.6293762885640265,0.012719194862665492,-0.47783537152280353,0.8004564146433544,0.6526263575335649,-0.6504024862910956,0.33077534277930193,0.29395556379898624,0.5244281665553984,0.12356771963344168,0.17585042696548514,-0.20852456260905067,0.18433945311729863,-0.02125093073714128
Individuals using the Internet (% of population),0.724772974256841,-0.8163915376297547,0.35781250775723566,-0.03483073127962556,0.7175410442437279,1.0,0.6882595355919716,-0.25999836054431497,0.09737241911912714,0.3797351904428726,0.3699534057878973,0.10927996276453422,0.26661929744358,-0.8448466103998438,0.6987881912515446,0.20200697640562912,-0.6042836348035114,0.7806881155363432,0.7434713824313643,-0.8225582353765895,0.2777334358424311,0.4192520661588599,0.807236414667405,0.12929500755048057,0.07268669873544552,-0.126529816296021,0.15926459221265465,0.002249519510600353
"Industry (including construction), value added per worker (constant 2015 US$)",0.3656702908050536,-0.43910965565760823,0.18791219209647783,0.06597330545528923,0.7869474080671816,0.6882595355919716,1.0,-0.19016357924312446,0.020849500605638113,0.2816372510234002,0.27037514952673225,0.14916610232896382,0.27187615420350686,-0.45731878712400176,0.38363472901920187,0.1682821724195073,-0.341500334782247,0.8670508539871827,0.5809387521248284,-0.5565633789697993,0.29487522172281094,0.3146416012554315,0.5159050357238157,0.24720872037098954,0.2259819519591824,-0.24182214036328123,0.2678191739267085,-0.097709103263308
"Inflation, GDP deflator (annual %)",-0.23565886916118656,0.21518894993269544,-0.08892550006276473,0.049840059046717705,-0.19355420236916207,-0.25999836054431497,-0.19016357924312446,1.0,0.025909176662378564,-0.15710649232398452,-0.15463882670544762,0.10723823310110206,-0.12912916154332196,0.22968661090900044,-0.161755297858402,-0.02480821918945538,0.0717118894020306,-0.26284358816327374,-0.20191179568053574,0.1935494421637586,-0.03963707643280961,-0.07035795619290533,-0.2335171194767392,0.006244527430357678,-0.1055274834159685,0.021476909884394768,-0.10235883491441637,0.0003276070095797159
Land area (sq. km),0.07826444828004099,-0.08745314050547386,0.024958945016756315,0.08839569435251007,0.04209813872452996,0.09737241911912714,0.020849500605638113,0.025909176662378564,1.0,0.5110487042023599,0.4855246764533062,0.11586371335797938,0.2664304781263642,-0.08917876936574905,0.09856642493276033,-0.038215779456906206,-0.11554672303255617,0.004518272004189922,0.11568292118469636,-0.09237317238752743,0.044619780193146955,-0.04457100436479369,0.015613322919831427,0.08423020778509548,-0.09334263366146889,-0.086013969464765,0.09497554214351792,-0.20500580187217235
Merchandise exports by the reporting economy (current US$),0.2621187159936602,-0.3328016681571799,0.155320327251992,0.08307307679775934,0.31879015671171007,0.3797351904428726,0.2816372510234002,-0.15710649232398452,0.5110487042023599,1.0,0.9532204034661012,0.08089985449614834,0.37765220012658957,-0.35805110503137577,0.26878563360969665,0.07884054587329145,-0.29249528476587433,0.3501795218452718,0.29674450736334473,-0.2965513993659572,0.21115026530144687,0.16296465632961293,0.3034297042491973,0.08952838730391717,0.05660183778155632,-0.1719449228472148,0.12143017206506426,-0.21597741852736096
